Disease,Year,Pro_Code,PROVINCE,Week_no,Count
Dengue,2013,GTM,GUATEMALA,1,0
Dengue,2013,GTM,GUATEMALA,2,0
Dengue,2013,GTM,GUATEMALA,3,0
Dengue,2013,GTM,GUATEMALA,4,0
Dengue,2013,GTM,GUATEMALA,5,0
Dengue,2013,GTM,GUATEMALA,6,0
Dengue,2013,GTM,GUATEMALA,7,0
Dengue,2013,GTM,GUATEMALA,8,0
Dengue,2013,GTM,GUATEMALA,9,0
Dengue,2013,GTM,GUATEMALA,10,0
Dengue,2013,GTM,GUATEMALA,11,0
Dengue,2013,GTM,GUATEMALA,12,0
Dengue,2013,GTM,GUATEMALA,13,0
Dengue,2013,GTM,GUATEMALA,14,0
Dengue,2013,GTM,GUATEMALA,15,0
Dengue,2013,GTM,GUATEMALA,16,0
Dengue,2013,GTM,GUATEMALA,17,0
Dengue,2013,GTM,GUATEMALA,18,0
Dengue,2013,GTM,GUATEMALA,19,0
Dengue,2013,GTM,GUATEMALA,20,0
Dengue,2013,GTM,GUATEMALA,21,0
Dengue,2013,GTM,GUATEMALA,22,0
Dengue,2013,GTM,GUATEMALA,23,0
Dengue,2013,GTM,GUATEMALA,24,0
Dengue,2013,GTM,GUATEMALA,25,0
Dengue,2013,GTM,GUATEMALA,26,0
Dengue,2013,GTM,GUATEMALA,27,0
Dengue,2013,GTM,GUATEMALA,28,0
Dengue,2013,GTM,GUATEMALA,29,0
Dengue,2013,GTM,GUATEMALA,30,0
Dengue,2013,GTM,GUATEMALA,31,0
Dengue,2013,GTM,GUATEMALA,32,0
Dengue,2013,GTM,GUATEMALA,33,0
Dengue,2013,GTM,GUATEMALA,34,0
Dengue,2013,GTM,GUATEMALA,35,0
Dengue,2013,GTM,GUATEMALA,36,0
Dengue,2013,GTM,GUATEMALA,37,0
Dengue,2013,GTM,GUATEMALA,38,0
Dengue,2013,GTM,GUATEMALA,39,0
Dengue,2013,GTM,GUATEMALA,40,0
Dengue,2013,GTM,GUATEMALA,41,0
Dengue,2013,GTM,GUATEMALA,42,0
Dengue,2013,GTM,GUATEMALA,43,0
Dengue,2013,GTM,GUATEMALA,44,0
Dengue,2013,GTM,GUATEMALA,45,0
Dengue,2013,GTM,GUATEMALA,46,0
Dengue,2013,GTM,GUATEMALA,47,0
Dengue,2013,GTM,GUATEMALA,48,0
Dengue,2013,GTM,GUATEMALA,49,0
Dengue,2013,GTM,GUATEMALA,50,0
Dengue,2013,GTM,GUATEMALA,51,0
Dengue,2013,GTM,GUATEMALA,52,33
Dengue,2014,GTM,GUATEMALA,1,42
Dengue,2014,GTM,GUATEMALA,2,33
Dengue,2014,GTM,GUATEMALA,3,66
Dengue,2014,GTM,GUATEMALA,4,53
Dengue,2014,GTM,GUATEMALA,5,58
Dengue,2014,GTM,GUATEMALA,6,46
Dengue,2014,GTM,GUATEMALA,7,326
Dengue,2014,GTM,GUATEMALA,8,110
Dengue,2014,GTM,GUATEMALA,9,145
Dengue,2014,GTM,GUATEMALA,10,85
