Disease,Year,Pro_Code,PROVINCE,Week_no,Count
Dengue,2015,KR,South Korea,1,1
Dengue,2015,KR,South Korea,2,0
Dengue,2015,KR,South Korea,3,4
Dengue,2015,KR,South Korea,4,4
Dengue,2015,KR,South Korea,5,3
Dengue,2015,KR,South Korea,6,7
Dengue,2015,KR,South Korea,7,1
Dengue,2015,KR,South Korea,8,1
Dengue,2015,KR,South Korea,9,3
Dengue,2015,KR,South Korea,10,5
Dengue,2015,KR,South Korea,11,5
Dengue,2015,KR,South Korea,12,2
Dengue,2015,KR,South Korea,13,0
Dengue,2015,KR,South Korea,14,3
Dengue,2015,KR,South Korea,15,1
Dengue,2015,KR,South Korea,16,3
Dengue,2015,KR,South Korea,17,3
Dengue,2015,KR,South Korea,18,4
Dengue,2015,KR,South Korea,19,4
Dengue,2015,KR,South Korea,20,1
Dengue,2015,KR,South Korea,21,4
Dengue,2015,KR,South Korea,22,5
Dengue,2015,KR,South Korea,23,1
Dengue,2015,KR,South Korea,24,3
Dengue,2015,KR,South Korea,25,0
Dengue,2015,KR,South Korea,26,5
Dengue,2015,KR,South Korea,27,5
Dengue,2015,KR,South Korea,28,5
Dengue,2015,KR,South Korea,29,1
Dengue,2015,KR,South Korea,30,6
Dengue,2015,KR,South Korea,31,6
Dengue,2015,KR,South Korea,32,3
Dengue,2015,KR,South Korea,33,6
Dengue,2015,KR,South Korea,34,12
Dengue,2015,KR,South Korea,35,11
Dengue,2015,KR,South Korea,36,11
Dengue,2015,KR,South Korea,37,7
Dengue,2015,KR,South Korea,38,7
Dengue,2015,KR,South Korea,39,1
Dengue,2015,KR,South Korea,40,6
Dengue,2015,KR,South Korea,41,9
Dengue,2015,KR,South Korea,42,6
Dengue,2015,KR,South Korea,43,11
Dengue,2015,KR,South Korea,44,11
Dengue,2015,KR,South Korea,45,16
Dengue,2015,KR,South Korea,46,11
Dengue,2015,KR,South Korea,47,9
Dengue,2015,KR,South Korea,48,2
Dengue,2015,KR,South Korea,49,4
Dengue,2015,KR,South Korea,50,3
Dengue,2015,KR,South Korea,51,8
Dengue,2015,KR,South Korea,52,5
Dengue,2016,KR,South Korea,1,2
Dengue,2016,KR,South Korea,2,19
Dengue,2016,KR,South Korea,3,4
Dengue,2016,KR,South Korea,4,5
Dengue,2016,KR,South Korea,5,3
Dengue,2016,KR,South Korea,6,12
Dengue,2016,KR,South Korea,7,4
Dengue,2016,KR,South Korea,8,16
Dengue,2016,KR,South Korea,9,2
Dengue,2016,KR,South Korea,10,12
Dengue,2016,KR,South Korea,11,5
Dengue,2016,KR,South Korea,12,5
Dengue,2016,KR,South Korea,13,7
Dengue,2016,KR,South Korea,14,5
Dengue,2016,KR,South Korea,15,13
Dengue,2016,KR,South Korea,16,5
Dengue,2016,KR,South Korea,17,0
Dengue,2016,KR,South Korea,18,5
Dengue,2016,KR,South Korea,19,7
Dengue,2016,KR,South Korea,20,4
Dengue,2016,KR,South Korea,21,4
Dengue,2016,KR,South Korea,22,2
Dengue,2016,KR,South Korea,23,5
Dengue,2016,KR,South Korea,24,8
Dengue,2016,KR,South Korea,25,5
Dengue,2016,KR,South Korea,26,2
Dengue,2016,KR,South Korea,27,4
Dengue,2016,KR,South Korea,28,1
Dengue,2016,KR,South Korea,29,11
Dengue,2016,KR,South Korea,30,8
Dengue,2016,KR,South Korea,31,18
Dengue,2016,KR,South Korea,32,7
Dengue,2016,KR,South Korea,33,13
Dengue,2016,KR,South Korea,34,6
Dengue,2016,KR,South Korea,35,13
Dengue,2016,KR,South Korea,36,8
Dengue,2016,KR,South Korea,37,8
Dengue,2016,KR,South Korea,38,3
Dengue,2016,KR,South Korea,39,3
Dengue,2016,KR,South Korea,40,5
Dengue,2016,KR,South Korea,41,5
Dengue,2016,KR,South Korea,42,1
Dengue,2016,KR,South Korea,43,3
Dengue,2016,KR,South Korea,44,4
Dengue,2016,KR,South Korea,45,1
Dengue,2016,KR,South Korea,46,2
Dengue,2016,KR,South Korea,47,7
Dengue,2016,KR,South Korea,48,6
Dengue,2016,KR,South Korea,49,2
Dengue,2016,KR,South Korea,50,2
Dengue,2016,KR,South Korea,51,5
Dengue,2016,KR,South Korea,52,4
Dengue,2016,KR,South Korea,53,3
Dengue,2017,KR,South Korea,1,2
Dengue,2017,KR,South Korea,2,1
Dengue,2017,KR,South Korea,3,3
Dengue,2017,KR,South Korea,4,2
Dengue,2017,KR,South Korea,5,1
Dengue,2017,KR,South Korea,6,6
Dengue,2017,KR,South Korea,7,3
Dengue,2017,KR,South Korea,8,1
Dengue,2017,KR,South Korea,9,2
Dengue,2017,KR,South Korea,10,0
Dengue,2017,KR,South Korea,11,2
Dengue,2017,KR,South Korea,12,3
Dengue,2017,KR,South Korea,13,1
Dengue,2017,KR,South Korea,14,3
Dengue,2017,KR,South Korea,15,4
Dengue,2017,KR,South Korea,16,0
Dengue,2017,KR,South Korea,17,1
Dengue,2017,KR,South Korea,18,0
Dengue,2017,KR,South Korea,19,1
Dengue,2017,KR,South Korea,20,4
Dengue,2017,KR,South Korea,21,0
Dengue,2017,KR,South Korea,22,0
Dengue,2017,KR,South Korea,23,2
Dengue,2017,KR,South Korea,24,2
Dengue,2017,KR,South Korea,25,4
Dengue,2017,KR,South Korea,26,10
Dengue,2017,KR,South Korea,27,2
Dengue,2017,KR,South Korea,28,5
Dengue,2017,KR,South Korea,29,6
Dengue,2017,KR,South Korea,30,2
Dengue,2017,KR,South Korea,31,6
Dengue,2017,KR,South Korea,32,4
Dengue,2017,KR,South Korea,33,4
Dengue,2017,KR,South Korea,34,10
Dengue,2017,KR,South Korea,35,6
Dengue,2017,KR,South Korea,36,7
Dengue,2017,KR,South Korea,37,6
Dengue,2017,KR,South Korea,38,7
Dengue,2017,KR,South Korea,39,5
Dengue,2017,KR,South Korea,40,5
Dengue,2017,KR,South Korea,41,6
Dengue,2017,KR,South Korea,42,3
Dengue,2017,KR,South Korea,43,5
Dengue,2017,KR,South Korea,44,0
Dengue,2017,KR,South Korea,45,2
Dengue,2017,KR,South Korea,46,3
Dengue,2017,KR,South Korea,47,1
Dengue,2017,KR,South Korea,48,2
Dengue,2017,KR,South Korea,49,3
Dengue,2017,KR,South Korea,50,7
Dengue,2017,KR,South Korea,51,2
Dengue,2017,KR,South Korea,52,3
Dengue,2018,KR,South Korea,1,3
Dengue,2018,KR,South Korea,2,2
Dengue,2018,KR,South Korea,3,2
Dengue,2018,KR,South Korea,4,1
Dengue,2018,KR,South Korea,5,1
Dengue,2018,KR,South Korea,6,1
Dengue,2018,KR,South Korea,7,0
Dengue,2018,KR,South Korea,8,2
Dengue,2018,KR,South Korea,9,1
Dengue,2018,KR,South Korea,10,3
Dengue,2018,KR,South Korea,11,1
Dengue,2018,KR,South Korea,12,0
Dengue,2018,KR,South Korea,13,2
Dengue,2018,KR,South Korea,14,1
Dengue,2018,KR,South Korea,15,4
Dengue,2018,KR,South Korea,16,4
Dengue,2018,KR,South Korea,17,3
Dengue,2018,KR,South Korea,18,2
Dengue,2018,KR,South Korea,19,1
Dengue,2018,KR,South Korea,20,2
Dengue,2018,KR,South Korea,21,1
Dengue,2018,KR,South Korea,22,5
Dengue,2018,KR,South Korea,23,4
Dengue,2018,KR,South Korea,24,1
Dengue,2018,KR,South Korea,25,4
Dengue,2018,KR,South Korea,26,5
Dengue,2018,KR,South Korea,27,5
Dengue,2018,KR,South Korea,28,4
Dengue,2018,KR,South Korea,29,3
Dengue,2018,KR,South Korea,30,4
Dengue,2018,KR,South Korea,31,1
Dengue,2018,KR,South Korea,32,3
Dengue,2018,KR,South Korea,33,4
Dengue,2018,KR,South Korea,34,10
Dengue,2018,KR,South Korea,35,7
Dengue,2018,KR,South Korea,36,5
Dengue,2018,KR,South Korea,37,2
Dengue,2018,KR,South Korea,38,1
Dengue,2018,KR,South Korea,39,2
Dengue,2018,KR,South Korea,40,3
Dengue,2018,KR,South Korea,41,5
Dengue,2018,KR,South Korea,42,6
Dengue,2018,KR,South Korea,43,2
Dengue,2018,KR,South Korea,44,5
Dengue,2018,KR,South Korea,45,1
Dengue,2018,KR,South Korea,46,6
Dengue,2018,KR,South Korea,47,5
Dengue,2018,KR,South Korea,48,4
Dengue,2018,KR,South Korea,49,7
Dengue,2018,KR,South Korea,50,2
Dengue,2018,KR,South Korea,51,2
Dengue,2018,KR,South Korea,52,4
Dengue,2019,KR,South Korea,1,4
Dengue,2019,KR,South Korea,2,5
Dengue,2019,KR,South Korea,3,3
Dengue,2019,KR,South Korea,4,3
Dengue,2019,KR,South Korea,5,4
Dengue,2019,KR,South Korea,6,5
Dengue,2019,KR,South Korea,7,7
Dengue,2019,KR,South Korea,8,5
Dengue,2019,KR,South Korea,9,3
Dengue,2019,KR,South Korea,10,1
Dengue,2019,KR,South Korea,11,0
Dengue,2019,KR,South Korea,12,2
Dengue,2019,KR,South Korea,13,1
Dengue,2019,KR,South Korea,14,2
Dengue,2019,KR,South Korea,15,1
Dengue,2019,KR,South Korea,16,3
Dengue,2019,KR,South Korea,17,4
Dengue,2019,KR,South Korea,18,3
Dengue,2019,KR,South Korea,19,0
Dengue,2019,KR,South Korea,20,2
Dengue,2019,KR,South Korea,21,1
Dengue,2019,KR,South Korea,22,2
Dengue,2019,KR,South Korea,23,4
Dengue,2019,KR,South Korea,24,6
Dengue,2019,KR,South Korea,25,4
Dengue,2019,KR,South Korea,26,4
Dengue,2019,KR,South Korea,27,5
Dengue,2019,KR,South Korea,28,10
Dengue,2019,KR,South Korea,29,4
Dengue,2019,KR,South Korea,30,8
Dengue,2019,KR,South Korea,31,4
Dengue,2019,KR,South Korea,32,15
Dengue,2019,KR,South Korea,33,13
Dengue,2019,KR,South Korea,34,12
Dengue,2019,KR,South Korea,35,14
Dengue,2019,KR,South Korea,36,11
Dengue,2019,KR,South Korea,37,8
Dengue,2019,KR,South Korea,38,6
Dengue,2019,KR,South Korea,39,8
Dengue,2019,KR,South Korea,40,10
Dengue,2019,KR,South Korea,41,4
Dengue,2019,KR,South Korea,42,7
Dengue,2019,KR,South Korea,43,12
Dengue,2019,KR,South Korea,44,5
Dengue,2019,KR,South Korea,45,2
Dengue,2019,KR,South Korea,46,9
Dengue,2019,KR,South Korea,47,8
Dengue,2019,KR,South Korea,48,4
Dengue,2019,KR,South Korea,49,3
Dengue,2019,KR,South Korea,50,6
Dengue,2019,KR,South Korea,51,3
Dengue,2019,KR,South Korea,52,3
Dengue,2020,KR,South Korea,1,2
Dengue,2020,KR,South Korea,2,3
Dengue,2020,KR,South Korea,3,10
Dengue,2020,KR,South Korea,4,4
Dengue,2020,KR,South Korea,5,5
Dengue,2020,KR,South Korea,6,8
Dengue,2020,KR,South Korea,7,3
Dengue,2020,KR,South Korea,8,2
Dengue,2020,KR,South Korea,9,1
Dengue,2020,KR,South Korea,10,1
Dengue,2020,KR,South Korea,11,0
Dengue,2020,KR,South Korea,12,2
Dengue,2020,KR,South Korea,13,0
Dengue,2020,KR,South Korea,14,1
Dengue,2020,KR,South Korea,15,1
Dengue,2020,KR,South Korea,16,0
Dengue,2020,KR,South Korea,17,0
Dengue,2020,KR,South Korea,18,1
Dengue,2020,KR,South Korea,19,0
Dengue,2020,KR,South Korea,20,0
Dengue,2020,KR,South Korea,21,0
Dengue,2020,KR,South Korea,22,0
Dengue,2020,KR,South Korea,23,0
Dengue,2020,KR,South Korea,24,0
Dengue,2020,KR,South Korea,25,0
Dengue,2020,KR,South Korea,26,0
Dengue,2020,KR,South Korea,27,0
Dengue,2020,KR,South Korea,28,0
Dengue,2020,KR,South Korea,29,0
Dengue,2020,KR,South Korea,30,0
Dengue,2020,KR,South Korea,31,0
Dengue,2020,KR,South Korea,32,0
Dengue,2020,KR,South Korea,33,0
Dengue,2020,KR,South Korea,34,0
Dengue,2020,KR,South Korea,35,0
Dengue,2020,KR,South Korea,36,0
Dengue,2020,KR,South Korea,37,0
Dengue,2020,KR,South Korea,38,0
Dengue,2020,KR,South Korea,39,0
Dengue,2020,KR,South Korea,40,0
Dengue,2020,KR,South Korea,41,0
Dengue,2020,KR,South Korea,42,0
Dengue,2020,KR,South Korea,43,0
Dengue,2020,KR,South Korea,44,0
Dengue,2020,KR,South Korea,45,0
Dengue,2020,KR,South Korea,46,0
Dengue,2020,KR,South Korea,47,0
Dengue,2020,KR,South Korea,48,0
Dengue,2020,KR,South Korea,49,0
Dengue,2020,KR,South Korea,50,0
Dengue,2020,KR,South Korea,51,0
Dengue,2020,KR,South Korea,52,0
Dengue,2021,KR,South Korea,1,0
Dengue,2021,KR,South Korea,2,0
Dengue,2021,KR,South Korea,3,0
Dengue,2021,KR,South Korea,4,0
Dengue,2021,KR,South Korea,5,0
Dengue,2021,KR,South Korea,6,0
Dengue,2021,KR,South Korea,7,0
Dengue,2021,KR,South Korea,8,0
Dengue,2021,KR,South Korea,9,0
Dengue,2021,KR,South Korea,10,0
Dengue,2021,KR,South Korea,11,0
Dengue,2021,KR,South Korea,12,0
Dengue,2021,KR,South Korea,13,0
Dengue,2021,KR,South Korea,14,0
Dengue,2021,KR,South Korea,15,0
Dengue,2021,KR,South Korea,16,0
Dengue,2021,KR,South Korea,17,0
Dengue,2021,KR,South Korea,18,0
Dengue,2021,KR,South Korea,19,0
Dengue,2021,KR,South Korea,20,0
Dengue,2021,KR,South Korea,21,0
Dengue,2021,KR,South Korea,22,0
Dengue,2021,KR,South Korea,23,0
Dengue,2021,KR,South Korea,24,0
Dengue,2021,KR,South Korea,25,0
Dengue,2021,KR,South Korea,26,0
Dengue,2021,KR,South Korea,27,0
Dengue,2021,KR,South Korea,28,0
Dengue,2021,KR,South Korea,29,1
Dengue,2021,KR,South Korea,30,0
Dengue,2021,KR,South Korea,31,0
Dengue,2021,KR,South Korea,32,0
Dengue,2021,KR,South Korea,33,0
Dengue,2021,KR,South Korea,34,0
Dengue,2021,KR,South Korea,35,0
Dengue,2021,KR,South Korea,36,0
Dengue,2021,KR,South Korea,37,0
Dengue,2021,KR,South Korea,38,0
Dengue,2021,KR,South Korea,39,0
Dengue,2021,KR,South Korea,40,0
Dengue,2021,KR,South Korea,41,0
Dengue,2021,KR,South Korea,42,0
Dengue,2021,KR,South Korea,43,0
Dengue,2021,KR,South Korea,44,0
Dengue,2021,KR,South Korea,45,0
Dengue,2021,KR,South Korea,46,0
Dengue,2021,KR,South Korea,47,0
Dengue,2021,KR,South Korea,48,0
Dengue,2021,KR,South Korea,49,1
Dengue,2021,KR,South Korea,50,1
Dengue,2021,KR,South Korea,51,0
Dengue,2021,KR,South Korea,52,0
Dengue,2022,KR,South Korea,1,0
Dengue,2022,KR,South Korea,2,0
Dengue,2022,KR,South Korea,3,0
Dengue,2022,KR,South Korea,4,0
Dengue,2022,KR,South Korea,5,0
Dengue,2022,KR,South Korea,6,0
Dengue,2022,KR,South Korea,7,0
Dengue,2022,KR,South Korea,8,0
Dengue,2022,KR,South Korea,9,0
Dengue,2022,KR,South Korea,10,0
Dengue,2022,KR,South Korea,11,0
Dengue,2022,KR,South Korea,12,1
Dengue,2022,KR,South Korea,13,0
Dengue,2022,KR,South Korea,14,0
Dengue,2022,KR,South Korea,15,0
Dengue,2022,KR,South Korea,16,0
Dengue,2022,KR,South Korea,17,0
Dengue,2022,KR,South Korea,18,0
Dengue,2022,KR,South Korea,19,1
Dengue,2022,KR,South Korea,20,0
Dengue,2022,KR,South Korea,21,0
Dengue,2022,KR,South Korea,22,1
Dengue,2022,KR,South Korea,23,1
Dengue,2022,KR,South Korea,24,3
Dengue,2022,KR,South Korea,25,3
Dengue,2022,KR,South Korea,26,2
Dengue,2022,KR,South Korea,27,4
Dengue,2022,KR,South Korea,28,1
Dengue,2022,KR,South Korea,29,1
Dengue,2022,KR,South Korea,30,4
Dengue,2022,KR,South Korea,31,1
Dengue,2022,KR,South Korea,32,5
Dengue,2022,KR,South Korea,33,5
Dengue,2022,KR,South Korea,34,2
Dengue,2022,KR,South Korea,35,4
Dengue,2022,KR,South Korea,36,3
Dengue,2022,KR,South Korea,37,4
Dengue,2022,KR,South Korea,38,1
Dengue,2022,KR,South Korea,39,5
Dengue,2022,KR,South Korea,40,5
Dengue,2022,KR,South Korea,41,2
Dengue,2022,KR,South Korea,42,4
Dengue,2022,KR,South Korea,43,3
Dengue,2022,KR,South Korea,44,3
Dengue,2022,KR,South Korea,45,1
Dengue,2022,KR,South Korea,46,6
Dengue,2022,KR,South Korea,47,3
Dengue,2022,KR,South Korea,48,4
Dengue,2022,KR,South Korea,49,3
Dengue,2022,KR,South Korea,50,6
Dengue,2022,KR,South Korea,51,4
Dengue,2022,KR,South Korea,52,1
Dengue,2022,KR,South Korea,53,6
Dengue,2023,KR,South Korea,1,2
Dengue,2023,KR,South Korea,2,2
Dengue,2023,KR,South Korea,3,2
Dengue,2023,KR,South Korea,4,3
Dengue,2023,KR,South Korea,5,2
