Disease,Year,Pro_Code,PROVINCE,Week_no,Count
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,1,17
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2,14
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,3,6
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,4,16
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,5,14
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,6,14
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,7,9
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,8,20
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,9,28
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,10,20
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,11,18
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,12,22
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,13,22
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,14,41
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,15,11
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,16,30
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,17,31
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,18,41
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,19,54
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,20,51
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,21,55
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,22,71
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,23,77
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,24,86
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,25,79
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,26,95
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,27,91
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,28,86
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,29,134
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,30,130
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,31,153
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,32,149
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,33,128
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,34,136
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,35,187
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,36,125
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,37,115
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,38,147
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,39,145
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,40,158
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,41,129
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,42,156
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,43,139
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,44,128
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,45,99
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,46,55
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,47,68
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,48,42
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,49,57
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,50,45
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,51,48
Dengue,2011,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,52,24
Dengue,2012,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,1,31
Dengue,2012,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2,46
Dengue,2012,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,3,39
Dengue,2012,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,4,17
