Disease,Year,Pro_Code,PROVINCE,Week_no,Count
Dengue,2013,TH,Thailand,1,756
Dengue,2013,TH,Thailand,2,756
Dengue,2013,TH,Thailand,3,756
Dengue,2013,TH,Thailand,4,756
Dengue,2013,TH,Thailand,5,1340
Dengue,2013,TH,Thailand,6,584
Dengue,2013,TH,Thailand,7,584
Dengue,2013,TH,Thailand,8,584
Dengue,2013,TH,Thailand,9,1341
Dengue,2013,TH,Thailand,10,757
Dengue,2013,TH,Thailand,11,757
Dengue,2013,TH,Thailand,12,757
Dengue,2013,TH,Thailand,13,757
Dengue,2013,TH,Thailand,14,945
Dengue,2013,TH,Thailand,15,945
Dengue,2013,TH,Thailand,16,945
Dengue,2013,TH,Thailand,17,945
Dengue,2013,TH,Thailand,18,2702
Dengue,2013,TH,Thailand,19,1757
Dengue,2013,TH,Thailand,20,1757
Dengue,2013,TH,Thailand,21,1757
Dengue,2013,TH,Thailand,22,5090
Dengue,2013,TH,Thailand,23,3333
Dengue,2013,TH,Thailand,24,3333
Dengue,2013,TH,Thailand,25,3333
Dengue,2013,TH,Thailand,26,3333
Dengue,2013,TH,Thailand,27,3789
Dengue,2013,TH,Thailand,28,3789
Dengue,2013,TH,Thailand,29,3789
Dengue,2013,TH,Thailand,30,3789
Dengue,2013,TH,Thailand,31,6500
Dengue,2013,TH,Thailand,32,2711
Dengue,2013,TH,Thailand,33,2711
Dengue,2013,TH,Thailand,34,2711
Dengue,2013,TH,Thailand,35,3873
Dengue,2013,TH,Thailand,36,1162
Dengue,2013,TH,Thailand,37,1162
Dengue,2013,TH,Thailand,38,1162
Dengue,2013,TH,Thailand,39,1162
Dengue,2013,TH,Thailand,40,1893
Dengue,2013,TH,Thailand,41,731
Dengue,2013,TH,Thailand,42,731
Dengue,2013,TH,Thailand,43,731
Dengue,2013,TH,Thailand,44,1246
Dengue,2013,TH,Thailand,45,515
Dengue,2013,TH,Thailand,46,515
Dengue,2013,TH,Thailand,47,515
Dengue,2013,TH,Thailand,48,745
Dengue,2013,TH,Thailand,49,230
Dengue,2013,TH,Thailand,50,230
Dengue,2013,TH,Thailand,51,230
Dengue,2013,TH,Thailand,52,230
Dengue,2014,TH,Thailand,1,177
Dengue,2014,TH,Thailand,2,177
Dengue,2014,TH,Thailand,3,177
Dengue,2014,TH,Thailand,4,177
Dengue,2014,TH,Thailand,5,348
Dengue,2014,TH,Thailand,6,171
Dengue,2014,TH,Thailand,7,171
Dengue,2014,TH,Thailand,8,171
Dengue,2014,TH,Thailand,9,339
Dengue,2014,TH,Thailand,10,168
Dengue,2014,TH,Thailand,11,168
Dengue,2014,TH,Thailand,12,168
Dengue,2014,TH,Thailand,13,168
Dengue,2014,TH,Thailand,14,322
Dengue,2014,TH,Thailand,15,154
Dengue,2014,TH,Thailand,16,154
Dengue,2014,TH,Thailand,17,154
Dengue,2014,TH,Thailand,18,441
Dengue,2014,TH,Thailand,19,287
Dengue,2014,TH,Thailand,20,287
Dengue,2014,TH,Thailand,21,287
Dengue,2014,TH,Thailand,22,727
Dengue,2014,TH,Thailand,23,440
Dengue,2014,TH,Thailand,24,440
Dengue,2014,TH,Thailand,25,440
Dengue,2014,TH,Thailand,26,440
Dengue,2014,TH,Thailand,27,1150
Dengue,2014,TH,Thailand,28,710
Dengue,2014,TH,Thailand,29,710
Dengue,2014,TH,Thailand,30,710
Dengue,2014,TH,Thailand,31,1383
Dengue,2014,TH,Thailand,32,673
Dengue,2014,TH,Thailand,33,673
Dengue,2014,TH,Thailand,34,673
Dengue,2014,TH,Thailand,35,673
Dengue,2014,TH,Thailand,36,539
Dengue,2014,TH,Thailand,37,539
Dengue,2014,TH,Thailand,38,539
Dengue,2014,TH,Thailand,39,539
Dengue,2014,TH,Thailand,40,997
Dengue,2014,TH,Thailand,41,458
Dengue,2014,TH,Thailand,42,458
Dengue,2014,TH,Thailand,43,458
Dengue,2014,TH,Thailand,44,905
Dengue,2014,TH,Thailand,45,447
Dengue,2014,TH,Thailand,46,447
Dengue,2014,TH,Thailand,47,447
Dengue,2014,TH,Thailand,48,447
Dengue,2014,TH,Thailand,49,358
Dengue,2014,TH,Thailand,50,358
Dengue,2014,TH,Thailand,51,358
Dengue,2014,TH,Thailand,52,358
Dengue,2015,TH,Thailand,1,273
Dengue,2015,TH,Thailand,2,273
Dengue,2015,TH,Thailand,3,273
Dengue,2015,TH,Thailand,4,273
Dengue,2015,TH,Thailand,5,505
Dengue,2015,TH,Thailand,6,232
Dengue,2015,TH,Thailand,7,232
Dengue,2015,TH,Thailand,8,232
Dengue,2015,TH,Thailand,9,484
Dengue,2015,TH,Thailand,10,252
Dengue,2015,TH,Thailand,11,252
Dengue,2015,TH,Thailand,12,252
Dengue,2015,TH,Thailand,13,252
Dengue,2015,TH,Thailand,14,640
Dengue,2015,TH,Thailand,15,388
Dengue,2015,TH,Thailand,16,388
Dengue,2015,TH,Thailand,17,388
Dengue,2015,TH,Thailand,18,1317
Dengue,2015,TH,Thailand,19,929
Dengue,2015,TH,Thailand,20,929
Dengue,2015,TH,Thailand,21,929
Dengue,2015,TH,Thailand,22,929
Dengue,2015,TH,Thailand,23,1587
Dengue,2015,TH,Thailand,24,1587
Dengue,2015,TH,Thailand,25,1587
Dengue,2015,TH,Thailand,26,1587
Dengue,2015,TH,Thailand,27,3801
Dengue,2015,TH,Thailand,28,2214
Dengue,2015,TH,Thailand,29,2214
Dengue,2015,TH,Thailand,30,2214
Dengue,2015,TH,Thailand,31,4458
Dengue,2015,TH,Thailand,32,2244
Dengue,2015,TH,Thailand,33,2244
Dengue,2015,TH,Thailand,34,2244
Dengue,2015,TH,Thailand,35,2244
Dengue,2015,TH,Thailand,36,4828
Dengue,2015,TH,Thailand,37,2584
Dengue,2015,TH,Thailand,38,2584
Dengue,2015,TH,Thailand,39,2584
Dengue,2015,TH,Thailand,40,4716
Dengue,2015,TH,Thailand,41,2132
Dengue,2015,TH,Thailand,42,2132
Dengue,2015,TH,Thailand,43,2132
Dengue,2015,TH,Thailand,44,4420
Dengue,2015,TH,Thailand,45,2288
Dengue,2015,TH,Thailand,46,2288
Dengue,2015,TH,Thailand,47,2288
Dengue,2015,TH,Thailand,48,2288
Dengue,2015,TH,Thailand,49,3598
Dengue,2015,TH,Thailand,50,1310
Dengue,2015,TH,Thailand,51,1310
Dengue,2015,TH,Thailand,52,1310
Dengue,2015,TH,Thailand,53,1310
Dengue,2016,TH,Thailand,1,1014
Dengue,2016,TH,Thailand,2,1014
Dengue,2016,TH,Thailand,3,1014
Dengue,2016,TH,Thailand,4,1014
Dengue,2016,TH,Thailand,5,501
Dengue,2016,TH,Thailand,6,501
Dengue,2016,TH,Thailand,7,501
Dengue,2016,TH,Thailand,8,501
Dengue,2016,TH,Thailand,9,970
Dengue,2016,TH,Thailand,10,469
Dengue,2016,TH,Thailand,11,469
Dengue,2016,TH,Thailand,12,469
Dengue,2016,TH,Thailand,13,730
Dengue,2016,TH,Thailand,14,261
Dengue,2016,TH,Thailand,15,261
Dengue,2016,TH,Thailand,16,261
Dengue,2016,TH,Thailand,17,466
Dengue,2016,TH,Thailand,18,205
Dengue,2016,TH,Thailand,19,205
Dengue,2016,TH,Thailand,20,205
Dengue,2016,TH,Thailand,21,205
Dengue,2016,TH,Thailand,22,706
Dengue,2016,TH,Thailand,23,501
Dengue,2016,TH,Thailand,24,501
Dengue,2016,TH,Thailand,25,501
Dengue,2016,TH,Thailand,26,1499
Dengue,2016,TH,Thailand,27,998
Dengue,2016,TH,Thailand,28,998
Dengue,2016,TH,Thailand,29,998
Dengue,2016,TH,Thailand,30,998
Dengue,2016,TH,Thailand,31,1335
Dengue,2016,TH,Thailand,32,1335
Dengue,2016,TH,Thailand,33,1335
Dengue,2016,TH,Thailand,34,1335
Dengue,2016,TH,Thailand,35,2337
Dengue,2016,TH,Thailand,36,1002
Dengue,2016,TH,Thailand,37,1002
Dengue,2016,TH,Thailand,38,1002
Dengue,2016,TH,Thailand,39,1585
Dengue,2016,TH,Thailand,40,583
Dengue,2016,TH,Thailand,41,583
Dengue,2016,TH,Thailand,42,583
Dengue,2016,TH,Thailand,43,583
Dengue,2016,TH,Thailand,44,1108
Dengue,2016,TH,Thailand,45,525
Dengue,2016,TH,Thailand,46,525
Dengue,2016,TH,Thailand,47,525
Dengue,2016,TH,Thailand,48,868
Dengue,2016,TH,Thailand,49,343
Dengue,2016,TH,Thailand,50,343
Dengue,2016,TH,Thailand,51,343
Dengue,2016,TH,Thailand,52,343
Dengue,2017,TH,Thailand,1,320
Dengue,2017,TH,Thailand,2,320
Dengue,2017,TH,Thailand,3,320
Dengue,2017,TH,Thailand,4,320
Dengue,2017,TH,Thailand,5,566
Dengue,2017,TH,Thailand,6,246
Dengue,2017,TH,Thailand,7,246
Dengue,2017,TH,Thailand,8,246
Dengue,2017,TH,Thailand,9,467
Dengue,2017,TH,Thailand,10,221
Dengue,2017,TH,Thailand,11,221
Dengue,2017,TH,Thailand,12,221
Dengue,2017,TH,Thailand,13,456
Dengue,2017,TH,Thailand,14,235
Dengue,2017,TH,Thailand,15,235
Dengue,2017,TH,Thailand,16,235
Dengue,2017,TH,Thailand,17,235
Dengue,2017,TH,Thailand,18,446
Dengue,2017,TH,Thailand,19,446
Dengue,2017,TH,Thailand,20,446
Dengue,2017,TH,Thailand,21,446
Dengue,2017,TH,Thailand,22,1328
Dengue,2017,TH,Thailand,23,882
Dengue,2017,TH,Thailand,24,882
Dengue,2017,TH,Thailand,25,882
Dengue,2017,TH,Thailand,26,1777
Dengue,2017,TH,Thailand,27,895
Dengue,2017,TH,Thailand,28,895
Dengue,2017,TH,Thailand,29,895
Dengue,2017,TH,Thailand,30,895
Dengue,2017,TH,Thailand,31,1857
Dengue,2017,TH,Thailand,32,962
Dengue,2017,TH,Thailand,33,962
Dengue,2017,TH,Thailand,34,962
Dengue,2017,TH,Thailand,35,1598
Dengue,2017,TH,Thailand,36,636
Dengue,2017,TH,Thailand,37,636
Dengue,2017,TH,Thailand,38,636
Dengue,2017,TH,Thailand,39,1050
Dengue,2017,TH,Thailand,40,414
Dengue,2017,TH,Thailand,41,414
Dengue,2017,TH,Thailand,42,414
Dengue,2017,TH,Thailand,43,414
Dengue,2017,TH,Thailand,44,916
Dengue,2017,TH,Thailand,45,502
Dengue,2017,TH,Thailand,46,502
Dengue,2017,TH,Thailand,47,502
Dengue,2017,TH,Thailand,48,850
Dengue,2017,TH,Thailand,49,348
Dengue,2017,TH,Thailand,50,348
Dengue,2017,TH,Thailand,51,348
Dengue,2017,TH,Thailand,52,348
Dengue,2018,TH,Thailand,1,449
Dengue,2018,TH,Thailand,2,449
Dengue,2018,TH,Thailand,3,449
Dengue,2018,TH,Thailand,4,449
Dengue,2018,TH,Thailand,5,848
Dengue,2018,TH,Thailand,6,399
Dengue,2018,TH,Thailand,7,399
Dengue,2018,TH,Thailand,8,399
Dengue,2018,TH,Thailand,9,920
Dengue,2018,TH,Thailand,10,521
Dengue,2018,TH,Thailand,11,521
Dengue,2018,TH,Thailand,12,521
Dengue,2018,TH,Thailand,13,1038
Dengue,2018,TH,Thailand,14,517
Dengue,2018,TH,Thailand,15,517
Dengue,2018,TH,Thailand,16,517
Dengue,2018,TH,Thailand,17,517
Dengue,2018,TH,Thailand,18,1975
Dengue,2018,TH,Thailand,19,1458
Dengue,2018,TH,Thailand,20,1458
Dengue,2018,TH,Thailand,21,1458
Dengue,2018,TH,Thailand,22,4180
Dengue,2018,TH,Thailand,23,2722
Dengue,2018,TH,Thailand,24,2722
Dengue,2018,TH,Thailand,25,2722
Dengue,2018,TH,Thailand,26,5076
Dengue,2018,TH,Thailand,27,2354
Dengue,2018,TH,Thailand,28,2354
Dengue,2018,TH,Thailand,29,2354
Dengue,2018,TH,Thailand,30,2354
Dengue,2018,TH,Thailand,31,4838
Dengue,2018,TH,Thailand,32,2484
Dengue,2018,TH,Thailand,33,2484
Dengue,2018,TH,Thailand,34,2484
Dengue,2018,TH,Thailand,35,4300
Dengue,2018,TH,Thailand,36,1816
Dengue,2018,TH,Thailand,37,1816
Dengue,2018,TH,Thailand,38,1816
Dengue,2018,TH,Thailand,39,1816
Dengue,2018,TH,Thailand,40,1518
Dengue,2018,TH,Thailand,41,1518
Dengue,2018,TH,Thailand,42,1518
Dengue,2018,TH,Thailand,43,1518
Dengue,2018,TH,Thailand,44,2969
Dengue,2018,TH,Thailand,45,1451
Dengue,2018,TH,Thailand,46,1451
Dengue,2018,TH,Thailand,47,1451
Dengue,2018,TH,Thailand,48,2628
