Disease,Year,Pro_Code,PROVINCE,Week_no,Count,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52
Dengue,2020,BRA,BRAZIL,1,49069,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,2,64676,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,3,82851,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,4,92796,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,5,118457,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,6,137304,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,7,123578,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,8,130146,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,9,146229,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,10,137870,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,11,101329,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,12,91750,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,13,92711,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,14,92931,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,15,92174,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,16,84674,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,17,78607,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,18,73655,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,19,64343,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,20,52710,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,21,43654,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,22,39405,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,23,35837,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,24,35299,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,25,28407,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,26,26748,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,27,23930,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,28,20227,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,29,17453,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,30,14465,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,31,12301,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,32,12357,12357,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,33,9771,9771,12357,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,34,9127,9127,9771,12357,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,35,9169,9169,9127,9771,12357,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,36,9186,9186,9169,9127,9771,12357,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,37,8813,8813,9186,9169,9127,9771,12357,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,38,8540,8540,8813,9186,9169,9127,9771,12357,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,39,8404,8404,8540,8813,9186,9169,9127,9771,12357,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,40,7837,7837,8404,8540,8813,9186,9169,9127,9771,12357,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,41,7330,7330,7837,8404,8540,8813,9186,9169,9127,9771,12357,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,42,7624,7624,7330,7837,8404,8540,8813,9186,9169,9127,9771,12357,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,43,6547,6547,7624,7330,7837,8404,8540,8813,9186,9169,9127,9771,12357,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,44,8102,8102,6547,7624,7330,7837,8404,8540,8813,9186,9169,9127,9771,12357,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,45,8477,8477,8102,6547,7624,7330,7837,8404,8540,8813,9186,9169,9127,9771,12357,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,46,9774,9774,8477,8102,6547,7624,7330,7837,8404,8540,8813,9186,9169,9127,9771,12357,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0,0
Dengue,2020,BRA,BRAZIL,47,9757,9757,9774,8477,8102,6547,7624,7330,7837,8404,8540,8813,9186,9169,9127,9771,12357,12301,14465,17453,20227,23930,26748,28407,35299,35837,39405,43654,52710,64343,73655,78607,84674,92174,92931,92711,91750,101329,137870,146229,130146,123578,137304,118457,92796,82851,64676,49069,0,0,0,0,0,0
