Disease,Year,Pro_Code,PROVINCE,Week_no,Count,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52
Dengue,2020,KHM,CAMBODIA,1,243,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,2,214,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,3,175,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,4,160,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,5,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,6,133,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,7,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,8,102,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,9,103,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,10,88,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,11,75,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,12,66,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,13,56,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,14,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,15,54,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,16,61,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,17,91,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,18,80,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,19,131,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,20,127,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,21,132,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,22,143,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,23,198,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,24,214,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,25,225,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,26,304,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,27,346,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,28,449,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,29,597,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,30,590,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,31,668,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,32,515,515,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,33,499,499,515,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,34,515,515,499,515,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,35,493,493,515,499,515,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,36,458,458,493,515,499,515,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,37,349,349,458,493,515,499,515,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,38,352,352,349,458,493,515,499,515,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,39,324,324,352,349,458,493,515,499,515,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,40,248,248,324,352,349,458,493,515,499,515,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,41,210,210,248,324,352,349,458,493,515,499,515,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,42,208,208,210,248,324,352,349,458,493,515,499,515,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,43,210,210,208,210,248,324,352,349,458,493,515,499,515,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,44,184,184,210,208,210,248,324,352,349,458,493,515,499,515,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,45,192,192,184,210,208,210,248,324,352,349,458,493,515,499,515,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,46,171,171,192,184,210,208,210,248,324,352,349,458,493,515,499,515,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0,0
Dengue,2020,KHM,CAMBODIA,47,176,176,171,192,184,210,208,210,248,324,352,349,458,493,515,499,515,668,590,597,449,346,304,225,214,198,143,132,127,131,80,91,61,54,54,56,66,75,88,103,102,102,133,133,160,175,214,243,0,0,0,0,0,0
