Disease,Year,Pro_Code,PROVINCE,Week_no,Count,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52
Dengue,2020,DOM,DOMINICAN REPUBLIC,1,441,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,2,312,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,3,322,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,4,314,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,5,289,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,6,241,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,7,220,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,8,185,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,9,216,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,10,147,147,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,11,93,93,147,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,12,33,33,93,147,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,13,26,26,33,93,147,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,14,20,20,26,33,93,147,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,15,38,38,20,26,33,93,147,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,16,8,8,38,20,26,33,93,147,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,17,48,48,8,38,20,26,33,93,147,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,18,24,24,48,8,38,20,26,33,93,147,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,19,28,28,24,48,8,38,20,26,33,93,147,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,20,38,38,28,24,48,8,38,20,26,33,93,147,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,21,9,9,38,28,24,48,8,38,20,26,33,93,147,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,22,37,37,9,38,28,24,48,8,38,20,26,33,93,147,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,23,15,15,37,9,38,28,24,48,8,38,20,26,33,93,147,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,24,50,50,15,37,9,38,28,24,48,8,38,20,26,33,93,147,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,DOM,DOMINICAN REPUBLIC,25,17,17,50,15,37,9,38,28,24,48,8,38,20,26,33,93,147,216,185,220,241,289,314,322,312,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
