Disease,Year,Pro_Code,PROVINCE,Week_no,Count,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52
Dengue,2020,GLP,GUADELOUPE,1,430,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,2,360,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,3,390,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,4,300,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,5,290,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,6,525,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,7,460,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,8,275,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,9,240,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,10,175,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,11,155,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,12,85,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,13,100,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,14,175,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,15,150,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,16,125,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,17,110,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,18,160,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,19,185,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,20,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,21,160,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,22,155,155,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,23,190,190,155,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,24,140,140,190,155,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,25,100,100,140,190,155,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,26,120,120,100,140,190,155,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,27,115,115,120,100,140,190,155,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,28,95,95,115,120,100,140,190,155,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,29,100,100,95,115,120,100,140,190,155,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,30,120,120,100,95,115,120,100,140,190,155,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,31,160,160,120,100,95,115,120,100,140,190,155,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,32,212,212,160,120,100,95,115,120,100,140,190,155,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,33,300,300,212,160,120,100,95,115,120,100,140,190,155,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,34,210,210,300,212,160,120,100,95,115,120,100,140,190,155,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,35,495,495,210,300,212,160,120,100,95,115,120,100,140,190,155,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,36,590,590,495,210,300,212,160,120,100,95,115,120,100,140,190,155,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GLP,GUADELOUPE,37,610,610,590,495,210,300,212,160,120,100,95,115,120,100,140,190,155,160,160,185,160,110,125,150,175,100,85,155,175,240,275,460,525,290,300,390,360,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
