Disease,Year,Pro_Code,PROVINCE,Week_no,Count,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52
Dengue,2020,GTM,GUATEMALA,1,365,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,2,279,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,3,324,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,4,334,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,5,298,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,6,269,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,7,238,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,8,233,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,9,224,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,10,232,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,11,155,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,12,85,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,13,89,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,14,61,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,15,57,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,16,86,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,17,68,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,18,101,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,19,72,72,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,20,99,99,72,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,21,113,113,99,72,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,22,74,74,113,99,72,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,23,99,99,74,113,99,72,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,24,100,100,99,74,113,99,72,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,25,133,133,100,99,74,113,99,72,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,26,116,116,133,100,99,74,113,99,72,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,27,89,89,116,133,100,99,74,113,99,72,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,28,89,89,89,116,133,100,99,74,113,99,72,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,29,83,83,89,89,116,133,100,99,74,113,99,72,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,30,89,89,83,89,89,116,133,100,99,74,113,99,72,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,31,81,81,89,83,89,89,116,133,100,99,74,113,99,72,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,32,59,59,81,89,83,89,89,116,133,100,99,74,113,99,72,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,33,76,76,59,81,89,83,89,89,116,133,100,99,74,113,99,72,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,GTM,GUATEMALA,34,62,62,76,59,81,89,83,89,89,116,133,100,99,74,113,99,72,101,68,86,57,61,89,85,155,232,224,233,238,269,298,334,324,279,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
