Disease,Year,Pro_Code,PROVINCE,Week_no,Count,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52
Dengue,2020,NIC,NICARAGUA,1,3552,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,2,3520,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,3,3596,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,4,3402,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,5,3433,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,6,3137,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,7,3039,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,8,2861,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,9,2755,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,10,2665,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,11,2487,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,12,1615,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,13,1448,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,14,1111,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,15,1353,1353,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,16,1597,1597,1353,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,17,1732,1732,1597,1353,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,18,1847,1847,1732,1597,1353,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,19,1512,1512,1847,1732,1597,1353,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,20,1032,1032,1512,1847,1732,1597,1353,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,21,974,974,1032,1512,1847,1732,1597,1353,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,22,978,978,974,1032,1512,1847,1732,1597,1353,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,23,1209,1209,978,974,1032,1512,1847,1732,1597,1353,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,24,1208,1208,1209,978,974,1032,1512,1847,1732,1597,1353,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,25,1112,1112,1208,1209,978,974,1032,1512,1847,1732,1597,1353,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,26,1287,1287,1112,1208,1209,978,974,1032,1512,1847,1732,1597,1353,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,27,1361,1361,1287,1112,1208,1209,978,974,1032,1512,1847,1732,1597,1353,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,28,1497,1497,1361,1287,1112,1208,1209,978,974,1032,1512,1847,1732,1597,1353,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,29,1724,1724,1497,1361,1287,1112,1208,1209,978,974,1032,1512,1847,1732,1597,1353,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,NIC,NICARAGUA,30,1717,1717,1724,1497,1361,1287,1112,1208,1209,978,974,1032,1512,1847,1732,1597,1353,1111,1448,1615,2487,2665,2755,2861,3039,3137,3433,3402,3596,3520,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
