Disease,Year,Pro_Code,PROVINCE,Week_no,Count,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52
Dengue,2020,SGP,SINGAPORE,1,342,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,2,402,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,3,307,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,4,370,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,5,400,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,6,378,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,7,380,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,8,373,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,9,375,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,10,389,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,11,367,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,12,377,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,13,315,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,14,341,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,15,360,360,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,16,399,399,360,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,17,390,390,399,360,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,18,502,502,390,399,360,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,19,524,524,502,390,399,360,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,20,618,618,524,502,390,399,360,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,21,731,731,618,524,502,390,399,360,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,22,868,868,731,618,524,502,390,399,360,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,23,1151,1151,868,731,618,524,502,390,399,360,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,24,1369,1369,1151,868,731,618,524,502,390,399,360,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,25,1460,1460,1369,1151,868,731,618,524,502,390,399,360,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,26,1444,1444,1460,1369,1151,868,731,618,524,502,390,399,360,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,27,1665,1665,1444,1460,1369,1151,868,731,618,524,502,390,399,360,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,28,1725,1725,1665,1444,1460,1369,1151,868,731,618,524,502,390,399,360,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,29,1791,1791,1725,1665,1444,1460,1369,1151,868,731,618,524,502,390,399,360,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,SGP,SINGAPORE,30,1376,1376,1791,1725,1665,1444,1460,1369,1151,868,731,618,524,502,390,399,360,341,315,377,367,389,375,373,380,378,400,370,307,402,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
