Country,Year,Week_no,Station_ID,TMAX,TMIN,TAVG,PRCP,SNWD
South Korea,2019,1,KSM00047108,-3.233,-7.425,-3.233,4.6,
South Korea,2019,2,KSM00047108,-0.471,-4.7,-0.471,4.6,
South Korea,2019,3,KSM00047108,-0.614,-5.7,-0.614,4.6,
South Korea,2019,4,KSM00047108,0.1,-5.54,0.1,4.6,
South Korea,2019,5,KSM00047108,0.371,-4.75,0.371,4.6,
South Korea,2019,6,KSM00047108,-1.757,-5.22,-1.757,1.9,
South Korea,2019,7,KSM00047108,-1.543,-6.475,-1.543,0.833,
South Korea,2019,8,KSM00047108,3.543,-1.167,3.543,1.6,
South Korea,2019,9,KSM00047108,7.029,0.875,7.029,1.7,
South Korea,2019,10,KSM00047108,8.057,3.4,8.057,1.7,
South Korea,2019,11,KSM00047108,4.886,0.667,4.886,1.8,
South Korea,2019,12,KSM00047108,6.529,1.667,6.529,7.2,
South Korea,2019,13,KSM00047108,8.271,5.3,8.271,0.6,
South Korea,2019,14,KSM00047108,9.2,3.0,9.2,0.4,
South Korea,2019,15,KSM00047108,9.857,5.9,9.857,4.62,
South Korea,2019,16,KSM00047108,14.143,7.82,14.143,1.0,
South Korea,2019,17,KSM00047108,14.943,11.475,14.943,3.383,
South Korea,2019,18,KSM00047108,16.971,9.85,16.971,8.117,
South Korea,2019,19,KSM00047108,17.586,11.34,17.586,8.117,
South Korea,2019,20,KSM00047108,19.7,13.85,19.7,8.117,
South Korea,2019,21,KSM00047108,21.186,15.44,21.186,12.85,
South Korea,2019,22,KSM00047108,19.157,13.475,19.157,2.4,
South Korea,2019,23,KSM00047108,21.9,16.85,21.9,14.333,
South Korea,2019,24,KSM00047108,21.6,16.075,21.6,4.633,
South Korea,2019,25,KSM00047108,22.657,18.16,22.657,2.383,
South Korea,2019,26,KSM00047108,24.743,20.425,24.743,0.75,
South Korea,2019,27,KSM00047108,25.971,20.4,25.971,3.225,
South Korea,2019,28,KSM00047108,24.214,20.1,24.214,5.7,
South Korea,2019,29,KSM00047108,26.114,22.675,26.114,3.35,
South Korea,2019,30,KSM00047108,26.786,24.5,26.786,12.329,
South Korea,2019,31,KSM00047108,27.714,24.7,27.714,15.286,
South Korea,2019,32,KSM00047108,29.943,25.35,29.943,3.3,
South Korea,2019,33,KSM00047108,26.929,24.7,26.929,14.25,
South Korea,2019,34,KSM00047108,26.229,21.9,26.229,0.65,
South Korea,2019,35,KSM00047108,24.486,20.35,24.486,11.44,
South Korea,2019,36,KSM00047108,24.357,21.05,24.357,12.8,
South Korea,2019,37,KSM00047108,23.4,19.4,23.4,10.757,
South Korea,2019,38,KSM00047108,20.729,15.8,20.729,0.15,
South Korea,2019,39,KSM00047108,21.829,16.5,21.829,0.15,
South Korea,2019,40,KSM00047108,21.157,16.3,21.157,5.64,
South Korea,2019,41,KSM00047108,15.957,10.875,15.957,8.467,
South Korea,2019,42,KSM00047108,15.557,10.62,15.557,4.684,
South Korea,2019,43,KSM00047108,15.286,10.8,15.286,4.684,
South Korea,2019,44,KSM00047108,13.586,7.7,13.586,0.9,
South Korea,2019,45,KSM00047108,10.529,4.275,10.529,3.734,
South Korea,2019,46,KSM00047108,7.071,2.62,7.071,6.567,
South Korea,2019,47,KSM00047108,5.529,0.95,5.529,17.9,
South Korea,2019,48,KSM00047108,3.614,-1.2,3.614,1.267,
South Korea,2019,49,KSM00047108,-1.629,-6.65,-1.629,0.76,
South Korea,2019,50,KSM00047108,3.943,-0.367,3.943,0.517,
South Korea,2019,51,KSM00047108,2.514,-1.8,2.514,2.55,
South Korea,2019,52,KSM00047108,1.643,-2.54,1.643,0.72,
South Korea,2020,1,KSM00047108,-0.671,-5.36,-0.671,0.45,
South Korea,2020,2,KSM00047108,1.157,-1.85,1.157,19.9,
South Korea,2020,3,KSM00047108,-0.9,-5.1,-0.9,10.075,
South Korea,2020,4,KSM00047108,3.143,-1.8,3.143,0.25,
South Korea,2020,5,KSM00047108,4.3,-0.35,4.3,0.0,
South Korea,2020,6,KSM00047108,-2.514,-8.2,-2.514,3.9,
South Korea,2020,7,KSM00047108,5.686,0.667,5.686,5.275,
South Korea,2020,8,KSM00047108,1.514,-2.74,1.514,2.35,
South Korea,2020,9,KSM00047108,6.286,2.0,6.286,4.16,
South Korea,2020,10,KSM00047108,4.671,-0.233,4.671,0.15,
South Korea,2020,11,KSM00047108,5.543,0.575,5.543,2.48,
South Korea,2020,12,KSM00047108,9.057,1.7,9.057,2.19,
South Korea,2020,13,KSM00047108,11.071,5.2,11.071,1.9,
South Korea,2020,14,KSM00047108,9.757,3.92,9.757,2.05,
South Korea,2020,15,KSM00047108,9.871,4.35,9.871,2.05,
South Korea,2020,16,KSM00047108,13.386,7.225,13.386,2.2,
South Korea,2020,17,KSM00047108,9.514,4.6,9.514,3.467,
South Korea,2020,18,KSM00047108,17.643,12.625,17.643,8.733,
South Korea,2020,19,KSM00047108,17.629,12.875,17.629,14.0,
South Korea,2020,20,KSM00047108,17.014,13.05,17.014,3.1,
South Korea,2020,21,KSM00047108,16.929,12.875,16.929,12.66,
South Korea,2020,22,KSM00047108,19.157,14.275,19.157,0.5,
South Korea,2020,23,KSM00047108,21.843,17.84,21.843,0.76,
South Korea,2020,24,KSM00047108,25.543,20.6,25.543,2.367,
South Korea,2020,25,KSM00047108,24.571,19.64,24.571,0.0,
South Korea,2020,26,KSM00047108,24.371,21.125,24.371,13.225,
South Korea,2020,27,KSM00047108,23.243,19.467,23.243,25.9,
South Korea,2020,28,KSM00047108,25.071,21.775,25.071,0.767,
South Korea,2020,29,KSM00047108,23.571,20.233,23.571,21.275,
South Korea,2020,30,KSM00047108,23.614,20.567,23.614,18.143,
South Korea,2020,31,KSM00047108,24.9,22.733,24.9,13.929,
South Korea,2020,32,KSM00047108,25.171,23.5,25.171,36.986,
South Korea,2020,33,KSM00047108,26.729,24.5,26.729,35.643,
South Korea,2020,34,KSM00047108,26.571,23.367,26.571,15.067,
South Korea,2020,35,KSM00047108,27.971,25.1,27.971,15.22,
South Korea,2020,36,KSM00047108,23.829,21.7,23.829,10.967,
South Korea,2020,37,KSM00047108,21.529,18.4,21.529,11.371,
South Korea,2020,38,KSM00047108,21.343,18.2,21.343,0.12,
South Korea,2020,39,KSM00047108,19.914,14.8,19.914,9.66,
South Korea,2020,40,KSM00047108,18.957,15.733,18.957,19.2,
South Korea,2020,41,KSM00047108,16.143,11.029,16.143,10.5,
South Korea,2020,42,KSM00047108,13.171,7.725,13.171,10.5,
South Korea,2020,43,KSM00047108,12.357,8.02,12.357,10.5,
South Korea,2020,44,KSM00047108,12.957,7.36,12.957,1.8,
South Korea,2020,45,KSM00047108,9.343,4.5,9.343,2.84,
South Korea,2020,46,KSM00047108,10.057,4.55,10.057,11.84,
South Korea,2020,47,KSM00047108,10.2,8.425,10.2,20.84,
South Korea,2020,48,KSM00047108,2.486,-0.6,2.486,0.0,
South Korea,2020,49,KSM00047108,1.714,-2.56,1.714,0.9,
South Korea,2020,50,KSM00047108,1.957,-2.2,1.957,1.8,
South Korea,2020,51,KSM00047108,-5.6,-10.025,-5.6,0.325,
South Korea,2020,52,KSM00047108,2.557,-2.383,2.557,0.363,
South Korea,2020,53,KSM00047108,-4.429,-10.6,-4.429,0.4,
South Korea,2021,1,KSM00047108,-9.386,-14.1,-9.386,14.067,
South Korea,2021,2,KSM00047108,-1.643,-7.26,-1.643,0.7,
South Korea,2021,3,KSM00047108,7.0,-1.7,2.386,2.425,
South Korea,2021,4,KSM00047108,0.843,-4.46,0.843,0.88,
South Korea,2021,5,KSM00047108,0.3,-4.225,0.3,1.1,
South Korea,2021,6,KSM00047108,3.58,-3.8,3.58,2.163,
South Korea,2021,7,KSM00047108,-1.017,-4.333,-1.017,3.225,
South Korea,2021,8,KSM00047108,5.729,-0.34,5.729,12.879,
South Korea,2021,9,KSM00047108,5.6,1.433,5.6,22.533,
South Korea,2021,10,KSM00047108,8.9,3.25,8.9,12.617,
South Korea,2021,11,KSM00047108,9.914,5.825,9.914,2.7,
South Korea,2021,12,KSM00047108,10.457,4.36,10.457,11.2,
South Korea,2021,13,KSM00047108,13.914,8.625,13.914,19.567,
South Korea,2021,14,KSM00047108,13.7,7.08,13.7,0.0,
South Korea,2021,15,KSM00047108,10.457,5.0,10.457,7.7,
South Korea,2021,16,KSM00047108,17.743,10.075,17.743,8.48,
South Korea,2021,17,KSM00047108,13.357,9.4,13.357,9.26,
South Korea,2021,18,KSM00047108,14.7,8.8,14.7,4.8,
South Korea,2021,19,KSM00047108,20.243,14.667,20.243,33.0,
South Korea,2021,20,KSM00047108,18.071,13.5,18.071,9.983,
South Korea,2021,21,KSM00047108,16.786,11.567,16.786,4.917,
South Korea,2021,22,KSM00047108,29.7,16.283,20.743,8.68,
South Korea,2021,23,KSM00047108,23.729,18.833,23.729,2.675,
South Korea,2021,24,KSM00047108,22.657,18.0,22.657,1.35,
South Korea,2021,25,KSM00047108,23.386,19.38,23.386,2.975,
South Korea,2021,26,KSM00047108,24.129,20.8,24.129,21.767,
South Korea,2021,27,KSM00047108,25.543,22.025,25.543,3.183,
South Korea,2021,28,KSM00047108,29.086,24.9,29.086,0.0,
South Korea,2021,29,KSM00047108,30.086,25.9,30.086,0.75,
South Korea,2021,30,KSM00047108,29.843,26.775,29.843,1.5,
South Korea,2021,31,KSM00047108,27.8,24.367,27.8,11.3,
South Korea,2021,32,KSM00047108,31.6,23.125,27.086,6.35,
South Korea,2021,33,KSM00047108,25.386,21.675,25.386,15.5,
South Korea,2021,34,KSM00047108,23.686,21.233,23.686,2.943,
South Korea,2021,35,KSM00047108,22.8,19.4,22.8,19.5,
South Korea,2021,36,KSM00047108,22.771,18.88,22.771,14.4,
South Korea,2021,37,KSM00047108,23.757,18.45,23.757,19.3,
South Korea,2021,38,KSM00047108,21.714,17.725,21.714,24.2,
South Korea,2021,39,KSM00047108,21.1,17.56,21.1,5.48,
South Korea,2021,40,KSM00047108,20.3,18.275,20.3,3.1,
South Korea,2021,41,KSM00047108,14.986,9.6,14.986,7.25,
South Korea,2021,42,KSM00047108,10.643,4.867,10.643,4.95,
South Korea,2021,43,KSM00047108,13.5,8.16,13.5,2.675,
South Korea,2021,44,KSM00047108,13.143,8.475,13.143,0.4,
South Korea,2021,45,KSM00047108,6.214,0.6,6.214,6.975,
South Korea,2021,46,KSM00047108,10.143,5.733,10.143,5.262,
South Korea,2021,47,KSM00047108,3.257,-2.25,3.257,3.55,
South Korea,2021,48,KSM00047108,2.657,-1.775,2.657,5.58,
South Korea,2021,49,KSM00047108,5.471,1.3,5.471,0.4,
South Korea,2021,50,KSM00047108,0.657,-5.9,0.657,1.575,
South Korea,2021,51,KSM00047108,-1.743,-5.125,-1.743,0.1,
South Korea,2021,52,KSM00047108,-3.643,-10.533,-3.643,0.2,
South Korea,2022,1,KSM00047108,-1.1,-6.52,-1.1,0.0,
South Korea,2022,2,KSM00047108,-4.329,-8.9,-4.329,0.5,
South Korea,2022,3,KSM00047108,-2.629,-6.8,-2.629,8.44,
South Korea,2022,4,KSM00047108,-0.486,-3.35,-0.486,0.267,
South Korea,2022,5,KSM00047108,-3.486,-8.3,-3.486,1.4,
South Korea,2022,6,KSM00047108,2.143,-3.5,2.143,1.0,
South Korea,2022,7,KSM00047108,-3.671,-9.033,-3.671,0.6,
South Korea,2022,8,KSM00047108,-0.014,-6.36,-0.014,0.25,
South Korea,2022,9,KSM00047108,4.4,-0.867,4.4,0.767,
