Country,Year,Week_no,Station_ID,TMAX,TMIN,TAVG,PRCP
Guatemala,2019,1,BHM00078583,29.5,22.15,26.55,1.42
Guatemala,2019,2,BHM00078583,28.3,19.65,23.714,2.9
Guatemala,2019,3,BHM00078583,28.567,19.567,24.071,1.414
Guatemala,2019,4,BHM00078583,26.95,18.75,23.6,1.386
Guatemala,2019,5,BHM00078583,29.7,20.3,24.129,0.0
Guatemala,2019,6,BHM00078583,29.0,22.633,26.343,0.571
Guatemala,2019,7,BHM00078583,30.0,21.4,25.714,3.557
Guatemala,2019,8,BHM00078583,30.967,25.3,27.814,0.0
Guatemala,2019,9,BHM00078583,30.15,22.375,27.229,0.143
Guatemala,2019,10,BHM00078583,30.3,23.4,27.571,0.471
Guatemala,2019,11,BHM00078583,30.84,24.84,27.814,0.214
Guatemala,2019,12,BHM00078583,30.567,20.8,25.729,1.671
Guatemala,2019,13,BHM00078583,30.1,20.7,25.857,2.0
Guatemala,2019,14,BHM00078583,31.5,22.233,27.629,0.0
Guatemala,2019,15,BHM00078583,34.267,25.2,28.7,0.0
Guatemala,2019,16,BHM00078583,32.64,21.96,27.757,5.329
Guatemala,2019,17,BHM00078583,30.2,20.7,27.871,0.843
Guatemala,2019,18,BHM00078583,31.48,26.18,29.157,0.071
Guatemala,2019,19,BHM00078583,32.0,27.0,29.2,0.5
Guatemala,2019,20,BHM00078583,32.367,27.333,29.7,0.0
Guatemala,2019,21,BHM00078583,32.2,26.317,29.514,1.06
Guatemala,2019,22,BHM00078583,32.75,24.75,29.029,0.433
Guatemala,2019,23,BHM00078583,32.1,25.5,29.757,12.557
Guatemala,2019,24,BHM00078583,32.267,26.983,29.814,0.05
Guatemala,2019,25,BHM00078583,32.625,27.275,30.057,1.929
Guatemala,2019,26,BHM00078583,32.225,25.725,28.786,3.343
Guatemala,2019,27,BHM00078583,32.04,25.14,29.014,4.471
Guatemala,2019,28,BHM00078583,32.2,25.567,29.6,2.986
Guatemala,2019,29,BHM00078583,31.55,25.45,28.557,6.5
Guatemala,2019,30,BHM00078583,32.1,26.0,29.6,0.2
Guatemala,2019,31,BHM00078583,32.833,23.967,29.2,0.614
Guatemala,2019,32,BHM00078583,32.92,26.24,30.029,4.057
Guatemala,2019,33,BHM00078583,32.38,26.94,30.057,0.729
Guatemala,2019,34,BHM00078583,33.1,26.5,29.986,0.729
Guatemala,2019,35,BHM00078583,33.85,25.55,29.8,0.0
