Country,Year,Week_no,Station_ID,TMAX,TMIN,TAVG,PRCP
Lao PeopleS Democratic Republic,2019,1,LAM00048930,25.04,16.167,21.117,8.0
Lao PeopleS Democratic Republic,2019,2,LAM00048930,25.94,19.686,23.114,8.0
Lao PeopleS Democratic Republic,2019,3,LAM00048930,27.383,17.9,22.386,6.1
Lao PeopleS Democratic Republic,2019,4,LAM00048930,28.8,16.243,22.543,4.45
Lao PeopleS Democratic Republic,2019,5,LAM00048930,30.867,15.643,22.9,4.45
Lao PeopleS Democratic Republic,2019,6,LAM00048930,33.833,12.383,23.629,4.45
Lao PeopleS Democratic Republic,2019,7,LAM00048930,30.2,17.571,25.586,2.8
Lao PeopleS Democratic Republic,2019,8,LAM00048930,31.6,16.643,26.1,0.0
Lao PeopleS Democratic Republic,2019,9,LAM00048930,31.6,17.786,27.414,2.85
Lao PeopleS Democratic Republic,2019,10,LAM00048930,31.6,17.68,28.057,2.85
Lao PeopleS Democratic Republic,2019,11,LAM00048930,33.0,16.083,26.529,2.85
Lao PeopleS Democratic Republic,2019,12,LAM00048930,35.084,18.22,28.286,5.7
Lao PeopleS Democratic Republic,2019,13,LAM00048930,35.084,19.68,28.786,7.9
Lao PeopleS Democratic Republic,2019,14,LAM00048930,35.084,19.7,28.714,4.7
Lao PeopleS Democratic Republic,2019,15,LAM00048930,35.084,20.757,30.743,4.7
Lao PeopleS Democratic Republic,2019,16,LAM00048930,35.084,22.5,33.257,1.5
Lao PeopleS Democratic Republic,2019,17,LAM00048930,35.084,22.0,30.757,8.317
Lao PeopleS Democratic Republic,2019,18,LAM00048930,35.084,24.167,32.6,1.167
Lao PeopleS Democratic Republic,2019,19,LAM00048930,35.084,26.743,33.757,0.0
Lao PeopleS Democratic Republic,2019,20,LAM00048930,35.084,24.85,32.133,11.875
Lao PeopleS Democratic Republic,2019,21,LAM00048930,35.084,25.14,32.729,23.75
Lao PeopleS Democratic Republic,2019,22,LAM00048930,35.084,24.92,29.929,8.075
Lao PeopleS Democratic Republic,2019,23,LAM00048930,35.084,25.25,31.414,2.7
Lao PeopleS Democratic Republic,2019,24,LAM00048930,35.084,26.6,31.586,1.7
Lao PeopleS Democratic Republic,2019,25,LAM00048930,37.167,25.85,32.829,2.5
Lao PeopleS Democratic Republic,2019,26,LAM00048930,36.45,26.58,32.229,3.27
Lao PeopleS Democratic Republic,2019,27,LAM00048930,35.225,25.05,28.329,4.04
Lao PeopleS Democratic Republic,2019,28,LAM00048930,35.225,25.4,30.2,8.4
Lao PeopleS Democratic Republic,2019,29,LAM00048930,35.225,25.1,32.014,4.0
Lao PeopleS Democratic Republic,2019,30,LAM00048930,35.225,24.3,28.014,5.32
Lao PeopleS Democratic Republic,2019,31,LAM00048930,35.225,24.7,27.443,24.22
Lao PeopleS Democratic Republic,2019,32,LAM00048930,35.225,24.5,28.771,3.3
Lao PeopleS Democratic Republic,2019,33,LAM00048930,35.225,24.333,28.029,10.65
Lao PeopleS Democratic Republic,2019,34,LAM00048930,34.0,23.667,28.714,10.975
Lao PeopleS Democratic Republic,2019,35,LAM00048930,34.0,24.95,28.857,3.05
Lao PeopleS Democratic Republic,2019,36,LAM00048930,34.0,24.525,29.671,0.6
Lao PeopleS Democratic Republic,2019,37,LAM00048930,34.0,24.25,29.029,3.3
Lao PeopleS Democratic Republic,2019,38,LAM00048930,34.0,23.0,29.229,0.8
Lao PeopleS Democratic Republic,2019,39,LAM00048930,30.85,19.775,27.671,0.8
Lao PeopleS Democratic Republic,2019,40,LAM00048930,34.0,21.375,28.414,4.0
Lao PeopleS Democratic Republic,2019,41,LAM00048930,32.5,21.7,28.457,6.925
Lao PeopleS Democratic Republic,2019,42,LAM00048930,32.5,21.6,27.786,4.713
Lao PeopleS Democratic Republic,2019,43,LAM00048930,32.5,22.257,29.414,4.713
Lao PeopleS Democratic Republic,2019,44,LAM00048930,32.5,19.667,26.886,4.713
Lao PeopleS Democratic Republic,2019,45,LAM00048930,32.5,18.68,25.886,4.713
Lao PeopleS Democratic Republic,2019,46,LAM00048930,32.5,16.9,26.4,4.713
Lao PeopleS Democratic Republic,2019,47,LAM00048930,32.5,18.3,25.814,2.5
Lao PeopleS Democratic Republic,2019,48,LAM00048930,32.5,16.383,24.986,5.763
Lao PeopleS Democratic Republic,2019,49,LAM00048930,31.0,11.886,20.857,5.763
Lao PeopleS Democratic Republic,2019,50,LAM00048930,33.0,8.733,19.586,5.763
Lao PeopleS Democratic Republic,2019,51,LAM00048930,33.0,14.3,23.671,5.763
Lao PeopleS Democratic Republic,2019,52,LAM00048930,33.0,15.083,23.2,5.763
Lao PeopleS Democratic Republic,2020,1,LAM00048930,33.0,15.58,24.343,5.763
Lao PeopleS Democratic Republic,2020,2,LAM00048930,33.0,15.857,24.829,5.763
Lao PeopleS Democratic Republic,2020,3,LAM00048930,33.0,15.429,25.1,5.763
Lao PeopleS Democratic Republic,2020,4,LAM00048930,35.0,14.95,24.614,5.763
Lao PeopleS Democratic Republic,2020,5,LAM00048930,28.0,14.186,22.814,5.763
Lao PeopleS Democratic Republic,2020,6,LAM00048930,34.0,16.533,25.914,5.763
Lao PeopleS Democratic Republic,2020,7,LAM00048930,36.0,15.9,26.614,5.763
Lao PeopleS Democratic Republic,2020,8,LAM00048930,36.0,15.943,25.029,5.763
Lao PeopleS Democratic Republic,2020,9,LAM00048930,36.0,16.25,26.871,5.763
Lao PeopleS Democratic Republic,2020,10,LAM00048930,36.0,19.833,27.643,9.025
Lao PeopleS Democratic Republic,2020,11,LAM00048930,36.0,18.943,29.414,5.763
Lao PeopleS Democratic Republic,2020,12,LAM00048930,36.0,20.929,30.229,5.763
Lao PeopleS Democratic Republic,2020,13,LAM00048930,36.0,21.05,31.114,5.763
Lao PeopleS Democratic Republic,2020,14,LAM00048930,38.0,22.625,32.986,5.763
Lao PeopleS Democratic Republic,2020,15,LAM00048930,37.0,21.917,29.271,2.5
Lao PeopleS Democratic Republic,2020,16,LAM00048930,38.5,20.867,28.571,5.68
Lao PeopleS Democratic Republic,2020,17,LAM00048930,38.5,22.75,29.286,35.817
Lao PeopleS Democratic Republic,2020,18,LAM00048930,38.5,21.4,27.471,11.175
Lao PeopleS Democratic Republic,2020,19,LAM00048930,38.5,24.54,31.914,3.0
Lao PeopleS Democratic Republic,2020,20,LAM00048930,38.5,23.6,31.5,1.65
Lao PeopleS Democratic Republic,2020,21,LAM00048930,38.5,24.75,32.386,0.3
Lao PeopleS Democratic Republic,2020,22,LAM00048930,40.0,25.05,31.943,0.45
Lao PeopleS Democratic Republic,2020,23,LAM00048930,35.78,24.7,30.329,1.8
Lao PeopleS Democratic Republic,2020,24,LAM00048930,35.78,24.6,30.014,5.567
Lao PeopleS Democratic Republic,2020,25,LAM00048930,31.56,24.625,28.671,2.567
Lao PeopleS Democratic Republic,2020,26,LAM00048930,35.067,24.575,30.829,0.25
Lao PeopleS Democratic Republic,2020,27,LAM00048930,33.167,24.0,29.714,1.1
Lao PeopleS Democratic Republic,2020,28,LAM00048930,32.875,25.383,30.329,2.15
Lao PeopleS Democratic Republic,2020,29,LAM00048930,33.375,24.25,30.029,2.975
Lao PeopleS Democratic Republic,2020,30,LAM00048930,36.2,24.25,30.957,4.075
Lao PeopleS Democratic Republic,2020,31,LAM00048930,34.7,24.1,29.629,6.433
Lao PeopleS Democratic Republic,2020,32,LAM00048930,31.714,24.7,28.2,7.514
Lao PeopleS Democratic Republic,2020,33,LAM00048930,32.84,24.667,27.457,12.4
Lao PeopleS Democratic Republic,2020,34,LAM00048930,30.583,23.8,27.343,9.825
Lao PeopleS Democratic Republic,2020,35,LAM00048930,34.65,24.72,30.014,3.633
Lao PeopleS Democratic Republic,2020,36,LAM00048930,35.25,24.9,30.629,0.8
Lao PeopleS Democratic Republic,2020,37,LAM00048930,33.25,24.5,29.086,3.467
Lao PeopleS Democratic Republic,2020,38,LAM00048930,32.34,24.4,29.014,6.24
Lao PeopleS Democratic Republic,2020,39,LAM00048930,32.117,24.429,28.386,3.517
Lao PeopleS Democratic Republic,2020,40,LAM00048930,33.4,24.529,29.771,4.78
Lao PeopleS Democratic Republic,2020,41,LAM00048930,31.75,21.367,27.429,5.1
Lao PeopleS Democratic Republic,2020,42,LAM00048930,28.375,21.2,26.043,1.3
Lao PeopleS Democratic Republic,2020,43,LAM00048930,27.333,19.3,24.957,0.933
Lao PeopleS Democratic Republic,2020,44,LAM00048930,30.983,21.075,26.743,0.867
Lao PeopleS Democratic Republic,2020,45,LAM00048930,31.083,21.717,26.914,0.8
Lao PeopleS Democratic Republic,2020,46,LAM00048930,30.75,16.2,24.671,2.3
Lao PeopleS Democratic Republic,2020,47,LAM00048930,32.56,19.067,26.3,2.3
Lao PeopleS Democratic Republic,2020,48,LAM00048930,31.4,17.9,25.829,2.3
Lao PeopleS Democratic Republic,2020,49,LAM00048930,28.1,15.067,22.643,2.3
Lao PeopleS Democratic Republic,2020,50,LAM00048930,28.3,13.45,21.4,2.3
Lao PeopleS Democratic Republic,2020,51,LAM00048930,29.25,16.667,23.714,2.3
Lao PeopleS Democratic Republic,2020,52,LAM00048930,29.0,12.65,21.3,2.3
Lao PeopleS Democratic Republic,2020,53,LAM00048930,28.8,13.56,21.857,2.3
Lao PeopleS Democratic Republic,2021,1,LAM00048930,26.786,14.12,21.114,2.3
Lao PeopleS Democratic Republic,2021,2,LAM00048930,24.967,11.525,17.971,3.8
Lao PeopleS Democratic Republic,2021,3,LAM00048930,28.8,12.571,21.671,3.95
Lao PeopleS Democratic Republic,2021,4,LAM00048930,31.9,16.0,24.214,4.1
Lao PeopleS Democratic Republic,2021,5,LAM00048930,32.367,16.667,24.843,4.975
Lao PeopleS Democratic Republic,2021,6,LAM00048930,29.125,15.5,21.88,5.85
Lao PeopleS Democratic Republic,2021,7,LAM00048930,32.0,16.25,24.6,6.909
Lao PeopleS Democratic Republic,2021,8,LAM00048930,35.067,18.1,26.743,6.909
Lao PeopleS Democratic Republic,2021,9,LAM00048930,34.6,17.5,27.2,6.909
Lao PeopleS Democratic Republic,2021,10,LAM00048930,35.06,19.1,28.014,6.909
Lao PeopleS Democratic Republic,2021,11,LAM00048930,37.5,22.25,30.786,6.909
Lao PeopleS Democratic Republic,2021,12,LAM00048930,35.1,21.9,28.971,7.967
Lao PeopleS Democratic Republic,2021,13,LAM00048930,37.917,20.5,29.514,10.7
Lao PeopleS Democratic Republic,2021,14,LAM00048930,33.25,20.5,27.157,8.74
Lao PeopleS Democratic Republic,2021,15,LAM00048930,34.2,22.7,28.543,4.78
Lao PeopleS Democratic Republic,2021,16,LAM00048930,37.071,22.783,30.4,7.84
Lao PeopleS Democratic Republic,2021,17,LAM00048930,32.125,22.5,28.514,10.9
Lao PeopleS Democratic Republic,2021,18,LAM00048930,35.429,22.7,29.429,2.3
Lao PeopleS Democratic Republic,2021,19,LAM00048930,36.643,23.48,30.614,6.75
Lao PeopleS Democratic Republic,2021,20,LAM00048930,38.214,25.083,32.329,23.1
