Country,Year,Week_no,Station_ID,TMAX,TMIN,TAVG,PRCP
Thailand,2019,1,TH000048569,30.2,22.76,26.217,12.867
Thailand,2019,2,TH000048569,31.2,23.233,27.4,3.114
Thailand,2019,3,TH000048569,31.8,21.68,26.986,4.95
Thailand,2019,4,TH000048569,31.9,20.617,26.7,2.505
Thailand,2019,5,TH000048569,32.0,21.886,27.214,0.06
Thailand,2019,6,TH000048569,33.4,20.833,27.243,0.255
Thailand,2019,7,TH000048569,33.4,20.914,27.329,0.45
Thailand,2019,8,TH000048569,34.2,21.3,27.914,0.0
Thailand,2019,9,TH000048569,34.484,20.643,27.871,0.0
Thailand,2019,10,TH000048569,34.767,19.233,27.529,0.0
Thailand,2019,11,TH000048569,38.0,21.45,28.786,7.534
Thailand,2019,12,TH000048569,37.15,21.329,29.071,7.534
Thailand,2019,13,TH000048569,34.55,22.575,28.271,15.067
Thailand,2019,14,TH000048569,35.55,22.783,28.343,11.1
Thailand,2019,15,TH000048569,35.4,23.1,28.714,8.9
Thailand,2019,16,TH000048569,36.2,23.257,29.6,1.1
Thailand,2019,17,TH000048569,36.4,23.386,29.743,0.5
Thailand,2019,18,TH000048569,35.85,23.9,28.829,15.783
Thailand,2019,19,TH000048569,33.433,24.267,28.343,1.957
Thailand,2019,20,TH000048569,35.0,23.867,28.1,12.85
Thailand,2019,21,TH000048569,34.84,23.52,27.943,9.043
Thailand,2019,22,TH000048569,34.471,24.267,27.657,6.143
Thailand,2019,23,TH000048569,33.317,23.8,27.371,8.129
Thailand,2019,24,TH000048569,34.467,24.32,29.029,0.2
Thailand,2019,25,TH000048569,33.1,23.275,27.757,1.35
Thailand,2019,26,TH000048569,34.643,22.983,28.343,0.375
Thailand,2019,27,TH000048569,35.0,22.843,28.671,0.767
Thailand,2019,28,TH000048569,34.8,22.633,27.614,1.471
Thailand,2019,29,TH000048569,34.1,22.983,27.9,4.5
Thailand,2019,30,TH000048569,34.817,22.3,26.957,13.4
Thailand,2019,31,TH000048569,34.32,22.643,28.314,1.867
Thailand,2019,32,TH000048569,34.16,23.5,28.2,12.7
Thailand,2019,33,TH000048569,33.45,23.22,27.571,3.286
Thailand,2019,34,TH000048569,32.7,23.029,27.614,1.36
Thailand,2019,35,TH000048569,31.3,23.1,26.443,9.443
Thailand,2019,36,TH000048569,34.1,23.033,28.1,4.02
Thailand,2019,37,TH000048569,33.167,23.167,27.043,1.433
Thailand,2019,38,TH000048569,32.3,23.06,27.2,0.38
Thailand,2019,39,TH000048569,33.317,22.62,27.657,0.967
Thailand,2019,40,TH000048569,33.514,22.2,26.114,12.443
Thailand,2019,41,TH000048569,34.467,22.183,26.543,14.957
Thailand,2019,42,TH000048569,32.4,23.371,26.714,8.586
Thailand,2019,43,TH000048569,33.043,23.24,26.9,3.6
Thailand,2019,44,TH000048569,33.22,22.667,26.786,7.814
Thailand,2019,45,TH000048569,33.475,22.983,25.871,21.171
Thailand,2019,46,TH000048569,33.3,23.057,27.329,11.217
Thailand,2019,47,TH000048569,32.4,22.9,27.357,5.55
Thailand,2019,48,TH000048569,32.2,23.567,26.771,4.871
Thailand,2019,49,TH000048569,30.833,22.76,26.086,3.4
Thailand,2019,50,TH000048569,31.175,21.88,26.643,0.767
Thailand,2019,51,TH000048569,31.95,21.825,26.829,2.55
Thailand,2019,52,TH000048569,31.86,20.243,26.357,1.535
Thailand,2020,1,TH000048569,32.6,21.029,27.229,0.52
Thailand,2020,2,TH000048569,32.733,20.814,27.471,0.15
Thailand,2020,3,TH000048569,32.867,20.517,27.186,0.3
Thailand,2020,4,TH000048569,33.875,20.833,27.529,0.5
Thailand,2020,5,TH000048569,33.76,20.617,27.714,0.0
Thailand,2020,6,TH000048569,33.1,19.814,26.929,4.3
Thailand,2020,7,TH000048569,32.867,22.257,27.286,2.24
Thailand,2020,8,TH000048569,32.54,20.929,27.6,2.5
Thailand,2020,9,TH000048569,33.583,20.717,27.714,0.3
Thailand,2020,10,TH000048569,34.725,21.757,28.371,2.733
Thailand,2020,11,TH000048569,37.3,22.357,28.9,5.167
Thailand,2020,12,TH000048569,35.525,19.867,28.314,0.0
Thailand,2020,13,TH000048569,36.214,22.257,29.443,1.2
Thailand,2020,14,TH000048569,36.033,21.9,28.771,2.4
Thailand,2020,15,TH000048569,36.55,23.017,29.671,0.2
Thailand,2020,16,TH000048569,35.325,23.886,29.443,2.7
Thailand,2020,17,TH000048569,35.55,23.643,29.571,1.08
Thailand,2020,18,TH000048569,35.267,23.66,28.4,0.3
Thailand,2020,19,TH000048569,36.483,24.043,28.8,4.4
Thailand,2020,20,TH000048569,34.7,24.44,27.686,6.443
Thailand,2020,21,TH000048569,35.475,24.117,28.957,0.88
Thailand,2020,22,TH000048569,33.6,23.84,27.786,7.886
Thailand,2020,23,TH000048569,33.833,23.971,27.871,1.483
Thailand,2020,24,TH000048569,33.475,24.05,28.057,4.22
Thailand,2020,25,TH000048569,33.543,23.367,27.329,9.7
Thailand,2020,26,TH000048569,34.28,23.15,27.414,6.06
Thailand,2020,27,TH000048569,32.725,23.317,26.9,8.033
Thailand,2020,28,TH000048569,33.28,23.317,27.029,7.733
Thailand,2020,29,TH000048569,34.24,23.05,27.2,1.517
Thailand,2020,30,TH000048569,33.7,22.96,27.157,17.314
Thailand,2020,31,TH000048569,32.18,23.767,27.014,2.714
Thailand,2020,32,TH000048569,32.85,24.086,28.3,4.233
Thailand,2020,33,TH000048569,33.783,23.3,27.743,1.533
Thailand,2020,34,TH000048569,34.0,23.229,27.771,3.2
Thailand,2020,35,TH000048569,34.267,23.467,28.186,2.467
Thailand,2020,36,TH000048569,33.9,23.5,27.771,8.514
Thailand,2020,37,TH000048569,33.5,23.26,26.986,15.429
Thailand,2020,38,TH000048569,31.925,23.533,26.743,8.443
Thailand,2020,39,TH000048569,33.1,23.557,27.371,2.34
Thailand,2020,40,TH000048569,33.95,22.86,26.729,6.657
Thailand,2020,41,TH000048569,31.2,23.64,26.629,6.686
Thailand,2020,42,TH000048569,29.425,23.46,26.386,13.514
Thailand,2020,43,TH000048569,33.5,22.9,26.671,7.857
Thailand,2020,44,TH000048569,34.65,23.117,27.229,3.4
Thailand,2020,45,TH000048569,32.14,23.24,26.786,10.967
Thailand,2020,46,TH000048569,31.64,23.16,26.929,4.543
Thailand,2020,47,TH000048569,31.85,23.333,26.571,11.8
Thailand,2020,48,TH000048569,29.467,23.1,25.986,13.286
Thailand,2020,49,TH000048569,28.8,22.84,25.414,22.529
Thailand,2020,50,TH000048569,30.7,22.3,26.4,2.9
Thailand,2020,51,TH000048569,29.38,22.92,25.786,17.057
Thailand,2020,52,TH000048569,30.68,22.38,25.957,4.983
Thailand,2020,53,TH000048569,29.7,21.917,26.471,9.96
Thailand,2021,1,TH000048569,30.625,23.0,26.157,14.914
Thailand,2021,2,TH000048569,29.775,21.929,25.7,0.7
Thailand,2021,3,TH000048569,31.267,20.843,26.357,0.25
Thailand,2021,4,TH000048569,31.9,20.843,26.686,0.0
Thailand,2021,5,TH000048569,32.18,20.42,26.871,0.0
Thailand,2021,6,TH000048569,32.5,21.025,26.84,0.084
Thailand,2021,7,TH000048569,32.933,18.8,26.333,0.084
Thailand,2021,8,TH000048569,36.667,18.029,27.171,0.084
Thailand,2021,9,TH000048569,33.825,21.857,28.214,0.167
Thailand,2021,10,TH000048569,34.1,20.529,27.729,3.598
Thailand,2021,11,TH000048569,34.517,19.986,27.771,3.598
Thailand,2021,12,TH000048569,33.65,22.833,27.557,7.029
Thailand,2021,13,TH000048569,35.24,23.8,28.029,3.171
Thailand,2021,14,TH000048569,33.825,22.75,28.0,4.333
Thailand,2021,15,TH000048569,34.467,22.817,27.343,7.6
Thailand,2021,16,TH000048569,34.367,23.35,27.743,0.567
Thailand,2021,17,TH000048569,34.0,22.9,26.957,12.643
Thailand,2021,18,TH000048569,33.15,23.46,27.514,8.16
Thailand,2021,19,TH000048569,35.3,23.933,28.243,2.614
Thailand,2021,20,TH000048569,34.0,23.86,27.571,6.457
Thailand,2021,21,TH000048569,34.925,23.56,28.043,3.471
Thailand,2021,22,TH000048569,34.383,23.925,27.514,13.167
Thailand,2021,23,TH000048569,33.38,23.717,28.029,1.217
Thailand,2021,24,TH000048569,34.567,22.767,27.486,1.52
Thailand,2021,25,TH000048569,33.833,22.583,28.071,0.25
Thailand,2021,26,TH000048569,35.08,22.929,28.271,3.05
Thailand,2021,27,TH000048569,30.667,23.617,27.0,8.2
Thailand,2021,28,TH000048569,34.5,23.267,28.086,1.2
Thailand,2021,29,TH000048569,34.95,23.614,28.871,0.0
Thailand,2021,30,TH000048569,34.375,23.967,27.943,4.72
Thailand,2021,31,TH000048569,34.533,23.233,28.771,0.2
Thailand,2021,32,TH000048569,33.7,23.667,27.929,3.386
Thailand,2021,33,TH000048569,32.875,22.68,26.314,8.18
Thailand,2021,34,TH000048569,34.067,22.467,27.057,2.417
Thailand,2021,35,TH000048569,33.233,23.05,27.329,5.367
Thailand,2021,36,TH000048569,32.167,22.986,27.443,6.267
Thailand,2021,37,TH000048569,33.35,23.467,26.986,0.95
Thailand,2021,38,TH000048569,33.529,22.914,26.686,4.571
Thailand,2021,39,TH000048569,34.875,23.58,27.6,2.114
Thailand,2021,40,TH000048569,33.067,23.683,27.043,5.886
Thailand,2021,41,TH000048569,35.033,23.267,28.371,39.9
Thailand,2021,42,TH000048569,34.8,22.8,26.986,2.314
Thailand,2021,43,TH000048569,33.117,23.371,26.829,4.8
Thailand,2021,44,TH000048569,32.775,23.067,26.586,6.886
Thailand,2021,45,TH000048569,30.1,23.58,25.943,17.257
Thailand,2021,46,TH000048569,33.2,23.386,26.557,13.829
Thailand,2021,47,TH000048569,30.075,23.2,25.457,21.443
Thailand,2021,48,TH000048569,28.64,22.983,25.257,11.3
Thailand,2021,49,TH000048569,31.3,21.529,26.429,1.057
Thailand,2021,50,TH000048569,29.275,23.4,26.071,6.829
Thailand,2021,51,TH000048569,31.117,22.4,26.514,0.575
Thailand,2021,52,TH000048569,28.55,22.4,26.329,24.48
Thailand,2022,1,TH000048569,30.6,22.814,26.714,2.05
Thailand,2022,2,TH000048569,31.35,19.814,26.314,1.925
Thailand,2022,3,TH000048569,32.7,20.52,26.514,1.925
Thailand,2022,4,TH000048569,33.92,20.967,27.186,1.925
Thailand,2022,5,TH000048569,33.34,21.714,27.657,1.8
Thailand,2022,6,TH000048569,32.92,22.333,27.629,0.8
Thailand,2022,7,TH000048569,33.6,22.25,26.929,7.286
Thailand,2022,8,TH000048569,32.7,22.3,26.329,34.9
Thailand,2022,9,TH000048569,32.325,22.643,27.414,1.575
Thailand,2022,10,TH000048569,33.117,22.467,27.757,3.475
Thailand,2022,11,TH000048569,34.667,23.043,27.429,5.586
Thailand,2022,12,TH000048569,34.925,23.714,28.143,3.3
Thailand,2022,13,TH000048569,34.15,23.086,27.429,8.2
Thailand,2022,14,TH000048569,32.82,23.186,27.043,5.32
Thailand,2022,15,TH000048569,35.375,23.457,28.029,5.85
Thailand,2022,16,TH000048569,34.357,23.883,28.6,2.94
Thailand,2022,17,TH000048569,35.571,23.533,28.157,13.62
Thailand,2022,18,TH000048569,33.414,24.117,27.086,15.571
Thailand,2022,19,TH000048569,33.871,24.386,28.314,1.067
Thailand,2022,20,TH000048569,34.286,23.225,28.243,0.45
Thailand,2022,21,TH000048569,34.643,23.133,27.986,8.775
Thailand,2022,22,TH000048569,33.386,23.36,27.871,11.2
Thailand,2022,23,TH000048569,34.057,23.117,27.171,13.667
Thailand,2022,24,TH000048569,34.486,23.55,27.429,4.417
Thailand,2022,25,TH000048569,32.943,23.783,27.514,2.971
Thailand,2022,26,TH000048569,33.4,23.933,28.0,4.36
Thailand,2022,27,TH000048569,33.9,24.214,28.143,2.667
Thailand,2022,28,TH000048569,32.95,24.32,27.771,3.6
Thailand,2022,29,TH000048569,34.671,23.657,28.071,0.825
Thailand,2022,30,TH000048569,34.286,23.38,27.786,4.02
Thailand,2022,31,TH000048569,32.914,22.96,27.2,5.8
Thailand,2022,32,TH000048569,34.471,23.28,28.257,2.75
Thailand,2022,33,TH000048569,33.029,22.929,27.614,8.9
Thailand,2022,34,TH000048569,33.029,23.433,27.429,9.74
Thailand,2022,35,TH000048569,32.914,23.3,27.357,3.3
Thailand,2022,36,TH000048569,32.267,23.733,27.3,3.114
Thailand,2022,37,TH000048569,32.657,23.067,27.157,1.4
Thailand,2022,38,TH000048569,32.35,23.017,26.957,6.26
Thailand,2022,39,TH000048569,32.967,23.06,26.7,14.517
Thailand,2022,40,TH000048569,32.617,23.2,26.129,11.8
Thailand,2022,41,TH000048569,32.5,22.96,26.329,4.9
Thailand,2022,42,TH000048569,32.567,23.775,26.643,6.929
Thailand,2022,43,TH000048569,32.7,23.22,26.7,6.343
Thailand,2022,44,TH000048569,31.775,23.64,26.329,16.986
Thailand,2022,45,TH000048569,31.167,23.4,26.214,16.186
Thailand,2022,46,TH000048569,32.08,23.74,26.214,17.2
Thailand,2022,47,TH000048569,33.0,23.35,26.729,1.343
Thailand,2022,48,TH000048569,30.643,23.04,26.229,8.629
Thailand,2022,49,TH000048569,29.48,22.88,25.414,24.314
Thailand,2022,50,TH000048569,29.82,23.0,25.657,31.529
Thailand,2022,51,TH000048569,29.12,22.0,25.214,16.72
Thailand,2022,52,TH000048569,30.767,20.32,24.929,15.168
Thailand,2023,1,TH000048569,29.033,22.12,25.086,13.617
Thailand,2023,2,TH000048569,32.075,22.2,26.714,8.575
Thailand,2023,3,TH000048569,30.767,21.18,25.843,11.257
Thailand,2023,4,TH000048569,30.35,22.9,25.929,1.817
Thailand,2023,5,TH000048569,30.975,22.58,26.057,3.371
Thailand,2023,6,TH000048569,32.44,22.0,26.814,0.125
Thailand,2023,7,TH000048569,32.433,21.175,26.571,1.267
Thailand,2023,8,TH000048569,32.433,21.32,26.686,3.864
Thailand,2023,9,TH000048569,31.15,21.867,26.129,6.46
Thailand,2023,10,TH000048569,32.36,20.625,26.586,0.4
Thailand,2023,11,TH000048569,33.325,20.4,26.9,0.2
Thailand,2023,12,TH000048569,35.2,22.175,27.9,0.0
Thailand,2023,13,TH000048569,35.65,21.48,28.114,1.98
Thailand,2023,14,TH000048569,36.05,22.5,27.743,3.96
Thailand,2023,15,TH000048569,35.925,23.3,28.757,6.867
Thailand,2023,16,TH000048569,36.633,23.62,28.257,1.233
Thailand,2023,17,TH000048569,35.94,23.36,28.971,0.767
Thailand,2023,18,TH000048569,35.7,24.28,28.486,3.933
Thailand,2023,19,TH000048569,36.7,23.98,29.4,0.267
Thailand,2023,20,TH000048569,35.0,23.7,28.243,9.843
Thailand,2023,21,TH000048569,34.157,24.175,28.429,3.52
Thailand,2023,22,TH000048569,35.243,24.7,29.243,0.717
Thailand,2023,23,TH000048569,35.029,24.08,28.414,2.55
Thailand,2023,24,TH000048569,34.883,23.72,28.171,3.9
Thailand,2023,25,TH000048569,35.971,22.96,28.271,16.375
Thailand,2023,26,TH000048569,33.371,23.6,27.7,10.5
Thailand,2023,27,TH000048569,34.971,23.917,28.586,1.325
Thailand,2023,28,TH000048569,34.917,23.9,28.829,3.8
Thailand,2023,29,TH000048569,32.62,24.16,28.257,7.18
Thailand,2023,30,TH000048569,34.075,24.08,28.771,5.525
Thailand,2023,31,TH000048569,33.8,24.1,27.957,6.817
Thailand,2023,32,TH000048569,33.95,23.817,28.057,2.55
Thailand,2023,33,TH000048569,33.28,23.833,27.686,5.343
Thailand,2023,34,TH000048569,34.36,23.357,28.014,2.4
Thailand,2023,35,TH000048569,33.26,23.883,27.657,7.067
Thailand,2023,36,TH000048569,33.633,23.7,26.914,7.3
Thailand,2023,37,TH000048569,33.7,23.517,28.243,0.0
Thailand,2023,38,TH000048569,33.271,23.55,27.157,18.457
Thailand,2023,39,TH000048569,31.5,23.983,27.386,14.6
Thailand,2023,40,TH000048569,35.12,24.2,27.886,4.575
Thailand,2023,41,TH000048569,35.15,23.975,27.557,16.767
Thailand,2023,42,TH000048569,33.6,23.9,27.2,9.286
Thailand,2023,43,TH000048569,33.733,23.414,27.429,1.65
Thailand,2023,44,TH000048569,32.325,23.783,26.857,9.914
Thailand,2023,45,TH000048569,32.38,23.64,27.143,22.129
Thailand,2023,46,TH000048569,26.1,24.0,26.314,15.771
Thailand,2023,47,TH000048569,27.78,23.8,25.514,25.486
Thailand,2023,48,TH000048569,29.74,23.4,26.0,17.471
Thailand,2023,49,TH000048569,31.933,23.86,27.386,4.086
Thailand,2023,50,TH000048569,30.275,23.783,26.829,10.357
Thailand,2023,51,TH000048569,28.65,23.76,26.586,16.214
Thailand,2023,52,TH000048569,30.85,24.15,27.014,7.557
Thailand,2024,1,TH000048569,32.05,23.2,27.286,38.6
Thailand,2024,2,TH000048569,31.85,23.4,27.043,0.62
Thailand,2024,3,TH000048569,32.433,22.96,27.4,0.267
Thailand,2024,4,TH000048569,30.833,23.533,26.686,2.2
Thailand,2024,5,TH000048569,32.56,22.825,27.271,0.15
Thailand,2024,6,TH000048569,34.4,22.62,27.8,1.558
Thailand,2024,7,TH000048569,33.7,22.675,28.014,2.967
Thailand,2024,8,TH000048569,34.833,22.7,28.429,1.609
Thailand,2024,9,TH000048569,34.54,22.7,28.671,0.25
Thailand,2024,10,TH000048569,35.96,22.9,28.371,2.5
Thailand,2024,11,TH000048569,35.46,22.25,28.714,1.4
Thailand,2024,12,TH000048569,35.475,22.675,28.8,1.4
Thailand,2024,13,TH000048569,36.0,22.7,29.833,0.3
Thailand,2024,14,TH000048569,38.767,22.4,28.471,0.15
Thailand,2024,15,TH000048569,36.55,23.65,30.029,0.0
Thailand,2024,16,TH000048569,38.014,24.55,29.8,15.833
Thailand,2024,17,TH000048569,38.217,25.18,29.943,14.567
Thailand,2024,18,TH000048569,37.667,25.083,29.867,8.44
Thailand,2024,19,TH000048569,36.443,21.5,29.357,3.467
Thailand,2024,20,TH000048569,36.386,22.671,29.257,10.157
Thailand,2024,21,TH000048569,35.48,25.025,29.214,5.083
Thailand,2024,22,TH000048569,36.15,22.1,28.857,2.967
Thailand,2024,23,TH000048569,36.3,18.9,29.6,6.78
Thailand,2024,24,TH000048569,35.971,23.314,29.114,1.8
Thailand,2024,25,TH000048569,33.857,20.4,27.4,1.243
Thailand,2024,26,TH000048569,35.571,19.95,27.971,6.586
Thailand,2024,27,TH000048569,34.5,22.3,27.857,2.625
Thailand,2024,28,TH000048569,34.233,21.44,27.757,2.586
Thailand,2024,29,TH000048569,34.6,22.567,28.357,6.971
Thailand,2024,30,TH000048569,35.214,22.967,28.9,43.2
Thailand,2024,31,TH000048569,35.071,18.671,27.614,7.929
Thailand,2024,32,TH000048569,35.514,20.283,28.286,1.6
Thailand,2024,33,TH000048569,35.883,17.16,27.9,17.483
Thailand,2024,34,TH000048569,34.671,20.857,27.071,11.543
Thailand,2024,35,TH000048569,34.071,20.8,27.529,7.88
Thailand,2024,36,TH000048569,34.286,20.55,27.5,3.95
Thailand,2024,37,TH000048569,33.083,19.2,27.143,6.267
Thailand,2024,38,TH000048569,31.657,23.757,26.371,12.986
Thailand,2024,39,TH000048569,34.857,15.467,27.343,8.314
Thailand,2024,40,TH000048569,34.814,23.329,27.286,9.029
Thailand,2024,41,TH000048569,34.471,20.1,26.886,21.243
Thailand,2024,42,TH000048569,33.057,20.567,27.2,2.58
Thailand,2024,43,TH000048569,34.429,20.2,27.271,5.65
Thailand,2024,44,TH000048569,34.2,20.343,27.6,5.071
Thailand,2024,45,TH000048569,33.043,23.586,26.2,11.557
Thailand,2024,46,TH000048569,34.257,21.7,27.486,12.167
Thailand,2024,47,TH000048569,31.967,24.1,26.3,6.9
Thailand,2024,48,TH000048569,28.34,18.74,24.733,83.45
Thailand,2024,49,TH000048569,31.786,23.9,26.971,0.72
Thailand,2024,50,TH000048569,30.814,20.617,25.886,8.357
Thailand,2024,51,TH000048569,31.686,21.483,26.114,4.071
Thailand,2024,52,TH000048569,32.014,22.775,26.514,4.75
